日期(年/月),單位,電力消費_總計(數值),電力消費_能源部門自用(數值),電力消費_工業部門_合計(數值),電力消費_工業部門_紡織成衣及服飾業(數值),電力消費_工業部門_紙漿紙及紙製品業(數值),電力消費_工業部門_化學材料製造業(數值),電力消費_工業部門_塑膠製品製造業(數值),電力消費_工業部門_非金屬礦物製品製造業(數值),電力消費_工業部門_金屬基本工業(數值),電力消費_工業部門_金屬製品製造業(數值),電力消費_工業部門_電腦通信及視聽電子產品製造業(數值),電力消費_工業部門_其他(數值),電力消費_運輸部門_合計(數值),電力消費_運輸部門_國內航空(數值),電力消費_運輸部門_公路(數值),電力消費_運輸部門_鐵路(數值),電力消費_運輸部門_管線運輸(數值),電力消費_運輸部門_國內水運(數值),電力消費_運輸部門_其他(數值),電力消費_農業部門(數值),電力消費_服務業部門_合計(數值),電力消費_服務業部門_批發及零售業(數值),電力消費_服務業部門_住宿及餐飲業(數值),電力消費_服務業部門_運輸服務業(數值),電力消費_服務業部門_倉儲業(數值),電力消費_服務業部門_通信業(數值),電力消費_服務業部門_金融保險及不動產業(數值),電力消費_服務業部門_工商服務業(數值),電力消費_服務業部門_社會服務及個人服務(數值),電力消費_服務業部門_公共行政業(數值),電力消費_服務業部門_其他(數值),電力消費_住宅部門(數值)
200912,百萬度,18696.345858,1560.730997,10366.477331,497.624758,279.082974,2504.917452,416.376651,442.017425,1267.186508,498.679956,2957.613743,1502.977864,102.554195,0,0.107516,98.820394,3.626285,0,0,193.575128,3450.88367,437.281232,189.943476,98.609912,54.736704,116.123288,85.199679,88.617809,654.54228,468.332066,1257.497224,3022.124537
201001,百萬度,17527.425205,1483.564552,9404.551481,442.700404,281.01179,2418.800227,381.076776,401.759109,1168.089011,461.56344,2510.922406,1338.628318,90.847715,0,0.108088,87.364881,3.374746,0,0,193.401389,3303.2928854,396.999473,171.366825,82.142894,48.485643,103.836118,74.12743,80.516172,593.820153,422.4341084,1329.564069,3051.7671826
201002,百萬度,15941.223161,1437.696237,8394.56511,373.140067,219.750628,2107.738155,314.969398,339.592538,1076.272582,386.338613,2398.539615,1178.223514,89.347473,0,0.108488,86.138216,3.100769,0,0,169.473793,2956.55028,365.517797,158.625236,81.178764,45.17881,97.181095,65.850477,74.134974,459.91688,412.763256,1196.202991,2893.590268
201003,百萬度,19350.807205,1674.478515,10677.793418,532.353931,299.657939,2414.533707,433.158089,442.465342,1382.324311,534.262943,3079.421746,1559.61541,104.436827,0,0.10948,100.876648,3.450699,0,0,209.142229,3627.710382,454.224897,207.562335,103.083116,56.061437,119.867139,85.891098,97.56344,714.166599,427.766117,1361.524204,3057.245834
201004,百萬度,18181.714471,1532.794382,10025.300588,498.195193,263.693396,2266.483007,404.428461,421.252651,1273.672359,511.094964,2931.954543,1454.526014,95.288321,0,0.109972,91.351396,3.826953,0,0,195.601808,3259.1400964,416.257938,190.014486,96.20967,52.791293,109.849664,80.910109,85.402414,635.558456,414.8468524,1177.299214,3073.5892756
201005,百萬度,19326.753543,1586.232037,10502.903067,506.086896,277.114557,2573.227535,425.609874,408.524715,1294.75348,527.480081,2979.348792,1510.757137,94.792021,0,0.11063,91.154094,3.527297,0,0,229.798098,3755.8123432,472.554674,223.178843,102.308729,57.762819,117.011781,92.326285,95.594954,735.005369,440.8104662,1419.258423,3157.2159768
201006,百萬度,20403.556709,1632.350693,11038.901961,547.301676,293.28071,2499.535644,435.741274,442.395682,1389.599321,553.553773,3243.125066,1634.368815,104.498753,0,0.113639,100.442255,3.942859,0,0,214.509741,4062.8119964,487.905846,235.509491,119.478199,63.392178,124.499293,97.457454,99.025603,802.968605,445.2132264,1587.362101,3350.4835646
201007,百萬度,21186.375013,1669.8214,10966.114992,536.152206,281.207203,2530.466947,442.554864,427.111015,1345.026235,558.921321,3171.203326,1673.471875,100.791338,0,0.12433,96.6316,4.035408,0,0,250.135325,4263.3289382,543.318446,272.423674,127.811973,67.359473,130.532468,109.992277,111.810075,796.994457,476.5462072,1626.539888,3936.1830198
201008,百萬度,21916.228621,1731.985403,10937.437093,538.436248,286.635108,2424.112681,439.363617,418.103667,1341.37022,565.278007,3243.803323,1680.334222,102.244037,0,0.135184,98.396262,3.712591,0,0,245.414301,4347.54618,543.631552,273.150532,131.378784,68.216843,130.327846,110.640337,112.408899,790.758921,479.513589,1707.518877,4551.601607
201009,百萬度,22674.212607,1623.943032,11029.593174,561.675374,293.13405,2293.569548,442.234815,439.851624,1401.349812,566.994948,3334.089798,1696.693205,104.674041,0,0.150065,100.692902,3.831074,0,0,260.208564,4685.0908776,558.610073,280.858869,130.908581,68.340162,133.148855,111.404903,115.444298,853.793847,485.7775926,1946.803697,4970.7029184
