西元年,行業代碼,行業名稱,生產總額_當期_百萬元,中間消費_當期_百萬元,GDP_當期_百萬元,GDP_連鎖實質_百萬元,GDP_平減指數
2017,總計(生產面),總計(生產面),39118249.0,21065130.0,18053119.0,18687748.0,96.6
2017,進口稅,進口稅,191352.0,,191352.0,170924.0,111.95
2018,A,農、林、漁、牧業,622429.0,308114.0,314315.0,335677.0,93.64
2018,B,礦業及土石採取業,18971.0,7804.0,11167.0,11278.0,99.02
2018,C,製造業,20463140.0,14374427.0,6088713.0,6109931.0,99.65
2018,CA,食品及飼品製造業,775703.0,622393.0,153310.0,157281.0,97.48
2018,CB,飲料及菸草製造業,166197.0,54426.0,111771.0,112224.0,99.6
2018,CC,紡織業,397294.0,295077.0,102217.0,106749.0,95.75
2018,CD,成衣及服飾品製造業,157783.0,122727.0,35056.0,39697.0,88.31
2018,CE,皮革、毛皮及其製品製造業,49824.0,33770.0,16054.0,20883.0,76.88
2018,CF,木竹製品製造業,51466.0,39181.0,12285.0,13624.0,90.17
2018,CG,紙漿、紙及紙製品製造業,250847.0,189719.0,61128.0,75551.0,80.91
2018,CH,印刷及資料儲存媒體複製業,123311.0,80199.0,43112.0,51028.0,84.49
2018,CI,石油及煤製品製造業,1186531.0,998039.0,188492.0,164523.0,114.57
2018,CJ,化學材料及肥料製造業,2390753.0,1915296.0,475457.0,439507.0,108.18
2018,CK,其他化學製品製造業,335990.0,243574.0,92416.0,89728.0,103.0
2018,CL,藥品及醫用化學製品製造業,112624.0,67457.0,45167.0,49399.0,91.43
2018,CM,橡膠製品製造業,118503.0,74146.0,44357.0,45332.0,97.85
2018,CN,塑膠製品製造業,495630.0,354029.0,141601.0,153662.0,92.15
2018,CO,非金屬礦物製品製造業,387963.0,279722.0,108241.0,130702.0,82.82
2018,CP,基本金屬製造業,1908820.0,1582886.0,325934.0,437681.0,74.47
2018,CQ,金屬製品製造業,1149548.0,769722.0,379826.0,371872.0,102.14
2018,CR,電子零組件製造業,5159906.0,2858598.0,2301308.0,2270245.0,101.37
2018,CS,電腦、電子產品及光學製品製造業,1899831.0,1340155.0,559676.0,516428.0,108.37
2018,CT,電力設備及配備製造業,720390.0,546281.0,174109.0,185459.0,93.88
2018,CU,機械設備製造業,1141605.0,833590.0,308015.0,282010.0,109.22
2018,CV,汽車及其零件製造業,489074.0,347663.0,141411.0,133312.0,106.08
2018,CW,其他運輸工具及其零件製造業,405845.0,303742.0,102103.0,93375.0,109.35
2018,CX,家具製造業,89788.0,68090.0,21698.0,19955.0,108.73
2018,CY,其他製造業,497914.0,353945.0,143969.0,143384.0,100.41
2018,D,電力及燃氣供應業,740845.0,537463.0,203382.0,207379.0,98.07
2018,E,用水供應及污染整治業,234013.0,128553.0,105460.0,108888.0,96.85
2018,F,營建工程業,1595807.0,1160400.0,435407.0,547431.0,79.54
2018,G,批發及零售業,3822312.0,1078877.0,2743435.0,2820428.0,97.27
2018,GDP,GDP,,,18420039.0,19142600.0,96.23
2018,H,運輸及倉儲業,1365502.0,827547.0,537955.0,1076337.0,49.98
2018,I,住宿及餐飲業,1026507.0,551676.0,474831.0,481509.0,98.61
2018,ICT,ICT產業,7810593.0,4492754.0,3317839.0,3231538.0,102.67
2018,J,出版影音及資通訊業,1026272.0,460488.0,565784.0,542183.0,104.35
2018,K,金融及保險業,1758928.0,544111.0,1214817.0,1193870.0,101.75
2018,L,不動產及住宅服務業,1933084.0,436637.0,1496447.0,1537222.0,97.35
2018,M,專業、科學及技術服務業,726898.0,303247.0,423651.0,447216.0,94.73
2018,N,支援服務業,468117.0,147993.0,320124.0,328168.0,97.55
2018,O,公共行政及國防；強制性社會安全,1531284.0,455371.0,1075913.0,1134254.0,94.86
2018,P,教育業,908912.0,162205.0,746707.0,759563.0,98.31
2018,Q,醫療保健及社會工作服務業,884762.0,323687.0,561075.0,612502.0,91.6
2018,R,藝術、娛樂及休閒服務業,233707.0,85176.0,148531.0,152502.0,97.4
2018,S,其他服務業,676555.0,238489.0,438066.0,455308.0,96.21
2018,加值型營業稅,加值型營業稅,329844.0,,329844.0,333894.0,98.79
2018,合計,合計,40038045.0,22132265.0,17905780.0,18693215.0,95.79
2018,總計(生產面),總計(生產面),40571644.0,22132265.0,18439379.0,19200322.0,96.04
2018,進口稅,進口稅,203755.0,,203755.0,176382.0,115.52
2019,A,農、林、漁、牧業,610253.0,289897.0,320356.0,333453.0,96.07
2019,B,礦業及土石採取業,20779.0,8824.0,11955.0,11444.0,104.47
2019,C,製造業,19769279.0,13693510.0,6075769.0,6241874.0,97.34
2019,CA,食品及飼品製造業,827361.0,648265.0,179096.0,169781.0,105.49
2019,CB,飲料及菸草製造業,163758.0,52728.0,111030.0,108527.0,102.31
2019,CC,紡織業,385092.0,279602.0,105490.0,101435.0,104.0
