西元年,月,日,峰値負載_MW,備轉容量_MW,備轉容量率_pct
2018,8,30,3188.6,439.8,13.79
2018,8,31,3226.4,407.6,12.63
2018,9,1,2892.8,421.0,14.55
2018,9,2,2817.6,306.2,10.87
2018,9,3,3384.3,282.8,8.36
2018,9,4,3516.3,228.5,6.50
2018,9,5,3523.8,227.5,6.45
2018,9,6,3489.0,238.3,6.83
2018,9,7,3452.4,238.1,6.90
2018,9,8,2966.1,297.2,10.02
2018,9,9,2681.0,371.3,13.85
2018,9,10,3164.5,356.7,11.27
2018,9,11,3327.6,311.1,9.35
2018,9,12,3411.7,231.5,6.78
2018,9,13,3452.1,238.1,6.90
2018,9,14,3463.1,230.8,6.66
2018,9,15,2928.1,314.8,10.75
2018,9,16,2894.7,300.9,10.40
2018,9,17,3509.8,235.0,6.70
2018,9,18,3532.7,240.4,6.80
2018,9,19,3499.1,240.3,6.87
2018,9,20,3501.9,225.6,6.44
2018,9,21,3489.2,240.4,6.89
2018,9,22,3027.2,256.9,8.49
2018,9,23,2787.6,271.8,9.75
2018,9,24,2722.3,336.9,12.38
2018,9,25,3274.9,393.7,12.02
2018,9,26,3194.9,388.5,12.16
2018,9,27,3194.6,423.0,13.24
2018,9,28,3151.0,405.8,12.88
2018,9,29,2681.2,417.5,15.57
2018,9,30,2550.5,406.6,15.94
2018,10,1,3070.7,309.8,10.09
2018,10,2,3099.2,311.6,10.05
2018,10,3,3057.9,300.0,9.81
2018,10,4,2985.2,328.2,10.99
2018,10,5,3037.5,239.6,7.89
2018,10,6,2709.7,270.5,9.98
2018,10,7,2587.1,271.0,10.47
2018,10,8,3087.3,297.5,9.64
2018,10,9,3128.8,294.8,9.42
2018,10,10,2756.2,244.3,8.86
2018,10,11,2987.5,313.8,10.50
2018,10,12,2917.2,375.6,12.88
2018,10,13,2616.2,330.0,12.62
2018,10,14,2568.7,250.0,9.73
2018,10,15,3053.8,308.3,10.09
2018,10,16,3146.2,239.3,7.60
2018,10,17,3007.9,266.9,8.87
2018,10,18,3009.7,277.4,9.22
2018,10,19,2995.2,288.9,9.64
2018,10,20,2620.6,314.8,12.01
2018,10,21,2537.7,276.6,10.90
2018,10,22,3024.0,234.8,7.77
2018,10,23,3045.0,208.0,6.83
2018,10,24,3054.9,225.1,7.37
2018,10,25,3102.9,211.6,6.82
2018,10,26,3101.4,215.2,6.94
2018,10,27,2558.6,325.8,12.73
2018,10,28,2428.9,311.5,12.83
2018,10,29,2843.9,311.2,10.94
2018,10,30,2907.3,255.7,8.80
2018,10,31,2906.0,276.2,9.51
2018,11,1,2860.5,253.6,8.87
2018,11,2,2890.5,234.1,8.10
2018,11,3,2648.6,192.5,7.27
2018,11,4,2539.1,212.8,8.38
2018,11,5,2986.6,211.1,7.07
2018,11,6,3077.2,212.2,6.90
2018,11,7,3094.1,197.1,6.37
2018,11,8,3141.9,191.3,6.09
2018,11,9,3029.5,210.7,6.96
2018,11,10,2692.7,189.3,7.03
2018,11,11,2555.6,254.4,9.95
2018,11,12,2996.3,209.0,6.98
2018,11,13,2951.2,204.0,6.91
2018,11,14,2943.7,200.9,6.83
2018,11,15,2992.0,197.9,6.61
2018,11,16,2996.9,209.4,6.99
2018,11,17,2663.0,186.9,7.02
2018,11,18,2568.2,180.6,7.03
2018,11,19,2918.4,193.7,6.64
2018,11,20,2973.1,192.0,6.46
2018,11,21,3001.9,193.9,6.46
2018,11,22,2881.7,251.8,8.74
2018,11,23,2841.6,269.3,9.48
2018,11,24,2481.2,336.6,13.57
2018,11,25,2482.1,307.7,12.40
2018,11,26,2888.4,191.6,6.63
2018,11,27,2901.7,182.9,6.30
2018,11,28,2895.6,190.3,6.57
2018,11,29,2869.1,204.0,7.11
2018,11,30,2856.2,218.3,7.64
2018,12,1,2563.6,267.7,10.44
2018,12,2,2498.1,245.2,9.82
2018,12,3,2896.3,189.4,6.54
2018,12,4,2986.8,185.2,6.20
2018,12,5,2940.6,194.1,6.60
2018,12,6,3001.9,186.6,6.22
2018,12,7,2835.5,186.8,6.59
2018,12,8,2518.8,265.0,10.52
2018,12,9,2403.8,265.7,11.05
2018,12,10,2863.1,191.0,6.67
