YearMonth,District,PowerUsage_100M_kWh,StationName,MeanTemp,SunshineHrs,Temp_Diff,Power_Diff
201810,寶山,3.1171,Hsinchu,23.6,169.9,-4.099999999999998,-0.005699999999999594
201811,寶山,2.9962,Hsinchu,22.3,115.8,-1.3000000000000007,-0.12090000000000023
201812,寶山,2.9749,Hsinchu,19.1,128.8,-3.1999999999999993,-0.021300000000000097
201901,寶山,2.9385,Hsinchu,17.7,107.8,-1.4000000000000021,-0.03639999999999999
201902,寶山,2.6533,Hsinchu,18,57,0.3000000000000007,-0.2851999999999997
201903,寶山,2.9793,Hsinchu,19.3,96.8,1.3000000000000007,0.3259999999999996
201904,寶山,2.9499,Hsinchu,23.6,147.5,4.300000000000001,-0.02939999999999987
201905,寶山,3.0841,Hsinchu,24.7,100.9,1.0999999999999979,0.13419999999999987
201906,寶山,3.0874,Hsinchu,28.3,161.2,3.6000000000000014,0.0033000000000003027
201907,寶山,3.2444,Hsinchu,30.2,236,1.8999999999999986,0.15700000000000003
201908,寶山,3.2301,Hsinchu,29.5,212.7,-0.6999999999999993,-0.01429999999999998
201909,寶山,3.0526,Hsinchu,27.2,196.1,-2.3000000000000007,-0.1775000000000002
201910,寶山,3.0624,Hsinchu,25.2,238.6,-2,0.009799999999999809
201911,寶山,2.8662,Hsinchu,21.8,190.7,-3.3999999999999986,-0.1961999999999997
201912,寶山,2.9247,Hsinchu,18.3,120.4,-3.5,0.058499999999999996
202001,寶山,2.9058,Hsinchu,16.7,134.4,-1.6000000000000014,-0.018899999999999917
202002,寶山,2.7559,Hsinchu,17.6,150.7,0.9000000000000021,-0.14990000000000014
202003,寶山,2.9971,Hsinchu,20,109.6,2.3999999999999986,0.24120000000000008
202004,寶山,2.9153,Hsinchu,20.5,116.7,0.5,-0.08180000000000032
202005,寶山,3.1906,Hsinchu,26.6,159.5,6.100000000000001,0.2753000000000001
202006,寶山,3.1658,Hsinchu,29.7,261.5,3.099999999999998,-0.024799999999999933
202007,寶山,3.3041,Hsinchu,30.8,256.2,1.1000000000000014,0.1383000000000001
202008,寶山,3.3147,Hsinchu,29.6,217.2,-1.1999999999999993,0.010600000000000165
202009,寶山,3.1683,Hsinchu,27.5,171.8,-2.1000000000000014,-0.1464000000000003
202010,寶山,3.1759,Hsinchu,24.9,202.3,-2.6000000000000014,0.007600000000000051
202011,寶山,0.6509,Hsinchu,23.3,181.7,-1.5999999999999979,-2.525
202012,寶山,0.6541,Hsinchu,18,62.4,-5.300000000000001,0.0031999999999999806
202101,寶山,0.7835,Hsinchu,15.3,148.6,-2.6999999999999993,0.12939999999999996
202102,寶山,0.4646,Hsinchu,17.9,178.4,2.599999999999998,-0.31889999999999996
202103,寶山,0.6648,Hsinchu,19.2,139.2,1.3000000000000007,0.20019999999999993
202104,寶山,0.6572,Hsinchu,22.1,131.1,2.900000000000002,-0.00759999999999994
202105,寶山,0.8798,Hsinchu,27.5,186.7,5.399999999999999,0.22260000000000002
202106,寶山,0.8709,Hsinchu,28.7,186,1.1999999999999993,-0.008900000000000019
202107,寶山,0.915,Hsinchu,29.8,223.2,1.1000000000000014,0.04410000000000003
202108,寶山,0.9065,Hsinchu,28.6,196.6,-1.1999999999999993,-0.008500000000000063
202109,寶山,0.931,Hsinchu,29.3,254,0.6999999999999993,0.024500000000000077
202110,寶山,0.99,Hsinchu,26,165.9,-3.3000000000000007,0.05899999999999994
202111,寶山,1.0682,Hsinchu,21.1,92.9,-4.899999999999999,0.07820000000000005
202112,寶山,1.1101,Hsinchu,17.9,144.1,-3.200000000000003,0.04190000000000005
202201,寶山,1.1469,Hsinchu,16.9,91.2,-1,0.036799999999999944
202202,寶山,1.0487,Hsinchu,15.7,41.3,-1.1999999999999993,-0.09820000000000007
202203,寶山,1.2205,Hsinchu,20,143,4.300000000000001,0.17179999999999995
202204,寶山,1.2306,Hsinchu,22.1,140.6,2.1000000000000014,0.010099999999999998
202205,寶山,1.311,Hsinchu,23.4,74.1,1.2999999999999972,0.08040000000000003
202206,寶山,1.3503,Hsinchu,27.8,159.1,4.400000000000002,0.03930000000000011
202207,寶山,1.4375,Hsinchu,30.1,269.7,2.3000000000000007,0.08719999999999994
202208,寶山,1.457,Hsinchu,29.7,215.1,-0.40000000000000213,0.019500000000000073
202209,寶山,1.3298,Hsinchu,27.3,187.1,-2.3999999999999986,-0.12719999999999998
202210,寶山,1.2582,Hsinchu,24.5,162,-2.8000000000000007,-0.07160000000000011
202211,寶山,1.0907,Hsinchu,23.5,143.7,-1,-0.16749999999999998
202212,寶山,1.1686,Hsinchu,16.4,106.9,-7.100000000000001,0.07790000000000008
202301,寶山,1.2965,Hsinchu,16.3,91.1,-0.09999999999999787,0.1278999999999999
202302,寶山,0.6007,Hsinchu,16.3,87,0,-0.6958
202303,寶山,0.9389,Hsinchu,19.3,161.9,3,0.33819999999999995
202304,寶山,1.3342,Hsinchu,22.1,113.6,2.8000000000000007,0.3953000000000001
202305,寶山,1.3333,Hsinchu,25.4,150.3,3.299999999999997,-0.0009000000000001229
202306,寶山,1.3556,Hsinchu,28.7,171.2,3.3000000000000007,0.022299999999999986
202307,寶山,1.4982,Hsinchu,30.1,223.9,1.4000000000000021,0.14260000000000006
202308,寶山,1.4928,Hsinchu,29.5,215.3,-0.6000000000000014,-0.005400000000000071
202309,寶山,1.408,Hsinchu,28.7,194,-0.8000000000000007,-0.08479999999999999
202310,寶山,1.4468,Hsinchu,25.3,149.4,-3.3999999999999986,0.03880000000000017
202311,寶山,1.3645,Hsinchu,21.9,192,-3.400000000000002,-0.08230000000000004
202312,寶山,1.3988,Hsinchu,18.4,98.9,-3.5,0.0343
202401,寶山,1.2129,Hsinchu,16.2,125,-2.1999999999999993,-0.18589999999999995
202402,寶山,1.1932,Hsinchu,17.2,107.6,1,-0.01970000000000005
202403,寶山,1.3117,Hsinchu,19.2,122.3,2,0.11850000000000005
202404,寶山,1.3856,Hsinchu,24.7,99.1,5.5,0.07389999999999985
202405,寶山,1.6068,Hsinchu,25.3,123.1,0.6000000000000014,0.22120000000000006
202406,寶山,1.7422,Hsinchu,28.6,146.2,3.3000000000000007,0.13539999999999996
202407,寶山,1.9091,Hsinchu,30.3,232.6,1.6999999999999993,0.16690000000000005
202408,寶山,2.061,Hsinchu,29.8,249.6,-0.5,0.15189999999999992
202409,寶山,2.0223,Hsinchu,29.3,195.4,-0.5,-0.03869999999999996
202410,寶山,2.0608,Hsinchu,25.9,116.2,-3.400000000000002,0.03849999999999998
202411,寶山,1.8408,Hsinchu,22.1,127.5,-3.799999999999997,-0.21999999999999997
202412,寶山,1.8417,Hsinchu,17.3,100.8,-4.800000000000001,0.0008999999999999009
202501,寶山,1.8192,Hsinchu,15.7,130.9,-1.6000000000000014,-0.022499999999999964
202502,寶山,1.6978,Hsinchu,15.8,80.6,0.10000000000000142,-0.12139999999999995
202503,寶山,2.0096,Hsinchu,18.1,135.5,2.3000000000000007,0.31179999999999986
202504,寶山,2.0624,Hsinchu,22.4,137.1,4.299999999999997,0.05279999999999996
202505,寶山,2.3185,Hsinchu,25.8,130.2,3.400000000000002,0.2561
202506,寶山,2.4426,Hsinchu,28.8,186.9,3,0.12410000000000032
202507,寶山,2.644,Hsinchu,28.9,135.3,0.09999999999999787,0.20140000000000002
202508,寶山,2.7473,Hsinchu,29.9,244.8,1,0.10329999999999995
202509,寶山,2.6943,Hsinchu,29.3,202.4,-0.5999999999999979,-0.052999999999999936
202510,寶山,2.7929,Hsinchu,27.1,198.9,-2.1999999999999993,0.0985999999999998
202511,寶山,2.7929,Hsinchu,22,144.7,-5.100000000000001,0
202512,寶山,2.6791,Hsinchu,19,127.1,-3,-0.1137999999999999
201601,新市,4.9799,Tainan,17.3,113.8,NULL,NULL
201602,新市,4.1692,Tainan,17.4,145.3,0.09999999999999787,-0.8106999999999998
201603,新市,5.0273,Tainan,19.7,134.1,2.3000000000000007,0.8581000000000003
201604,新市,5.137,Tainan,26.3,196.1,6.600000000000001,0.10969999999999924
201605,新市,5.3936,Tainan,28.4,234.6,2.099999999999998,0.2566000000000006
201606,新市,5.2977,Tainan,29.4,231.6,1,-0.09590000000000032
201607,新市,5.5416,Tainan,29.9,246.1,0.5,0.2439
201608,新市,5.5507,Tainan,29.3,187.5,-0.5999999999999979,0.009100000000000108
201609,新市,5.2655,Tainan,28,152.8,-1.3000000000000007,-0.2851999999999997
201610,新市,5.432,Tainan,27.8,178,-0.1999999999999993,0.1665000000000001
201611,新市,5.1574,Tainan,24.3,167.5,-3.5,-0.2746000000000004
201612,新市,5.2364,Tainan,20.9,184.5,-3.400000000000002,0.07899999999999974
201701,新市,4.9382,Tainan,19.4,208.3,-1.5,-0.2981999999999996
201702,新市,4.5206,Tainan,18.6,174.3,-0.7999999999999972,-0.4176000000000002
201703,新市,5.099,Tainan,21.5,194.7,2.8999999999999986,0.5784000000000002
201704,新市,4.9968,Tainan,24.6,194.7,3.1000000000000014,-0.10219999999999985
201705,新市,5.4085,Tainan,27.7,199.5,3.099999999999998,0.41169999999999973
201706,新市,5.3197,Tainan,29.3,199.2,1.6000000000000014,-0.08879999999999999
201707,新市,5.4497,Tainan,29.6,203.9,0.3000000000000007,0.1299999999999999
201708,新市,5.4497,Tainan,29.9,212.5,0.29999999999999716,0
201709,新市,5.3027,Tainan,30,234.5,0.10000000000000142,-0.14700000000000024
201710,新市,5.3461,Tainan,27.1,229.2,-2.8999999999999986,0.043400000000000105
201711,新市,5.029,Tainan,23.8,165.3,-3.3000000000000007,-0.31709999999999994
201712,新市,5.0657,Tainan,19.1,164.8,-4.699999999999999,0.03669999999999973
201801,新市,5.0519,Tainan,18.1,136.8,-1,-0.013799999999999812
201802,新市,4.4955,Tainan,17.5,125.4,-0.6000000000000014,-0.5564
201803,新市,5.1491,Tainan,22.3,249.7,4.800000000000001,0.6536
201804,新市,5.0594,Tainan,25.6,217.5,3.3000000000000007,-0.08969999999999967
201805,新市,5.4322,Tainan,28.9,277.7,3.299999999999997,0.3727999999999998
201806,新市,5.2738,Tainan,29,195.8,0.10000000000000142,-0.15840000000000032
201807,新市,5.479,Tainan,29.2,200.1,0.1999999999999993,0.2052000000000005
201808,新市,5.4624,Tainan,27.8,119.1,-1.3999999999999986,-0.016600000000000392
201809,新市,5.2773,Tainan,28.9,208.8,1.0999999999999979,-0.18509999999999938
201810,新市,5.3031,Tainan,25.8,234.9,-3.099999999999998,0.02579999999999938
201811,新市,5.0934,Tainan,24.2,172.2,-1.6000000000000014,-0.20969999999999978
201812,新市,5.1163,Tainan,21.6,214.6,-2.599999999999998,0.02289999999999992
201901,新市,5.0662,Tainan,19.7,176.4,-1.9000000000000021,-0.05009999999999959
201902,新市,4.5161,Tainan,22,211.3,2.3000000000000007,-0.5501000000000005
201903,新市,5.1301,Tainan,22.5,188.8,0.5,0.6139999999999999
201904,新市,5.1381,Tainan,26,206.6,3.5,0.008000000000000007
201905,新市,5.4213,Tainan,26.9,134.4,0.8999999999999986,0.2831999999999999
201906,新市,5.2729,Tainan,29.3,183.5,2.400000000000002,-0.14839999999999964
201907,新市,5.4864,Tainan,29.2,174.2,-0.10000000000000142,0.2134999999999998
201908,新市,5.5456,Tainan,28.7,122,-0.5,0.059200000000000585
201909,新市,5.3121,Tainan,28.4,202.6,-0.3000000000000007,-0.23350000000000026
201910,新市,5.4312,Tainan,27.1,173.5,-1.2999999999999972,0.11909999999999954
201911,新市,5.1268,Tainan,23.5,229.2,-3.6000000000000014,-0.30439999999999934
201912,新市,5.1722,Tainan,19.8,182.5,-3.6999999999999993,0.045399999999999885
202001,新市,5.0543,Tainan,19,244.5,-0.8000000000000007,-0.11790000000000056
202002,新市,4.8455,Tainan,20,226.4,1,-0.2087999999999992
202003,新市,5.2653,Tainan,23.3,230.2,3.3000000000000007,0.4197999999999995
202004,新市,5.129,Tainan,23.4,203.8,0.09999999999999787,-0.1363000000000003
202005,新市,5.5221,Tainan,28.1,222,4.700000000000003,0.39310000000000045
202006,新市,5.4491,Tainan,30.1,271.8,2,-0.0730000000000004
202007,新市,5.6524,Tainan,30.2,232.9,0.09999999999999787,0.20330000000000048
