日期(年/月),單位,電力消費_總計(數值),電力消費_能源部門自用(數值),電力消費_工業部門_合計(數值),電力消費_工業部門_紡織成衣及服飾品製造業(數值),電力消費_工業部門_紙漿紙及紙製品製造業(數值),電力消費_工業部門_化學材料及肥料製造業(數值),電力消費_工業部門_塑膠製品製造業(數值),電力消費_工業部門_非金屬礦物製品製造業(數值),電力消費_工業部門_基本金屬製造業(數值),電力消費_工業部門_金屬製品製造業(數值),電力消費_工業部門_電子產品及電力設備製造業(數值),電力消費_工業部門_其他(數值),電力消費_運輸部門_合計(數值),電力消費_運輸部門_國內航空(數值),電力消費_運輸部門_公路(數值),電力消費_運輸部門_鐵路(數值),電力消費_運輸部門_管線運輸(數值),電力消費_運輸部門_國內水運(數值),電力消費_運輸部門_其他(數值),電力消費_農業部門(數值),電力消費_服務業部門_合計(數值),電力消費_服務業部門_批發及零售業(數值),電力消費_服務業部門_運輸及倉儲業(數值),電力消費_服務業部門_住宿及餐飲業(數值),電力消費_服務業部門_出版影音及資通訊業(數值),電力消費_服務業部門_金融及保險業(數值),電力消費_服務業部門_不動產業(數值),電力消費_服務業部門_專業科學及技術服務業(數值),電力消費_服務業部門_支援服務業(數值),電力消費_服務業部門_公共行政及國防(數值),電力消費_服務業部門_教育業(數值),電力消費_服務業部門_醫療保險及社會工作服務業(數值),電力消費_服務業部門_藝術娛樂及休閒服務業(數值),電力消費_服務業部門_其他(數值),電力消費_住宅部門(數值)
201910,百萬度,23698.612089,1683.106044,12678.81559044,477.674789,300.260121,2709.91658,467.78577,483.811593,1524.95217,561.65678785,4484.45767875,1668.30010084,137.619374,0,7.518153,127.086663,3.014558,0,0,283.75069283,4168.96733024,1057.33769555,288.594672,690.794979,291.06516783,157.725085,98.49380749,101.31603691,58.366638,364.0909365,324.25111525,302.04719509,127.880402,307.00359962,4746.35305749
201911,百萬度,22056.616342,1564.295526,12177.67879457,451.073235,293.349661,2638.655421,447.732201,488.334594,1461.640797,545.87941691,4261.73678827,1589.27668039,129.05746,0,7.805653,118.437111,2.814696,0,0,269.6406871,3829.24132777,975.19747464,263.030145,642.611777,287.22056984,133.956846,72.33975428,90.88441884,56.949381,375.37984784,266.69544682,261.69753032,116.06085,287.21728619,4086.70254656
201912,百萬度,20750.98936698,1596.061161,12294.95758555,450.508899,319.160879,2642.873592,453.184342,498.566617,1519.051726,546.84126116,4323.63909001,1541.13117938,132.32892,0,8.626229,120.983078,2.719613,0,0,241.33978023,3380.46745207,841.70290054,244.02196,548.394412,273.7367646,115.466146,57.84856518,74.4283756,52.676841,364.22480562,248.08921844,244.84776019,103.691739,211.3379639,3105.83446813
202001,百萬度,19982.09569399,1551.36017985,11694.83752686,400.964166,289.124245,2640.606673,388.666588,444.568542,1454.483197,462.90877572,4232.0378764,1381.47746374,132.18259915,0,7.314296,122.055926,2.81237715,0,0,219.39472713,3228.26506068,807.07345707,235.315257,513.866122,268.94143281,106.034686,55.3303001,69.41711581,51.134109,350.22112852,193.96269486,232.23431947,95.332637,249.40180104,3156.05560032
202002,百萬度,20085.77283,1493.47465999,11549.28267941,425.432069,274.928801,2410.44768,422.556876,447.814129,1507.095116,506.94270621,4103.40024108,1450.66506112,119.62802301,0,7.38807,109.8532,2.38675301,0,0,251.31689492,3187.12382197,808.13592763,227.127098,522.809929,273.33410596,103.039996,51.37292193,67.46379896,49.375278,323.68275071,170.0603641,226.4959612,98.366393,265.85929748,3484.9467507
202003,百萬度,21298.53177959,1620.98103838,12429.78428132,460.718832,313.972376,2499.940554,444.059014,490.032679,1619.076617,563.49404832,4478.23141473,1560.25874627,129.10763222,0,7.964022,119.129063,2.01454722,0,0,228.80367113,3293.30107229,811.65206723,242.882517,495.564476,276.32931932,111.584552,55.91481869,74.46748432,51.765037,339.91699852,240.41708433,249.19088228,97.005865,246.6099706,3596.55408425
202004,百萬度,20359.060356,1561.73240954,11802.21468722,344.883844,305.41075,2377.810977,429.528796,464.200477,1499.06228,538.74852816,4354.42168292,1488.14735214,124.86855146,0,8.015037,114.497762,2.35575246,0,0,250.46794968,3270.25518557,810.50860027,238.167184,494.497814,274.65520443,109.138585,52.3578482,70.01135743,51.321862,336.65110095,234.44269379,244.50378281,96.792195,257.20695769,3349.52157253
202005,百萬度,21916.10609683,1623.13722469,12542.20173502,341.486264,305.339485,2590.471551,435.862157,490.801953,1508.743159,530.43632789,4757.24414761,1581.81669052,124.55166631,0,8.189975,113.617659,2.74403231,0,0,263.02354465,3762.74599307,911.37594015,282.033823,555.370837,292.98487442,129.417737,64.20710202,83.43543542,56.840067,369.91217952,323.45591249,298.72299954,110.767503,284.22158251,3600.44593309
202006,百萬度,22945.98645801,1618.86909659,12587.52146651,352.694766,292.031271,2634.269161,443.041675,487.679317,1482.004522,529.14370564,4722.44553564,1644.21151323,132.06643141,0,8.317595,121.247093,2.50174341,0,0,285.16772533,4083.53042497,968.34683199,295.070337,634.250249,294.683596,141.78864,68.07565333,86.206919,58.3984,394.57828472,358.83101597,324.89372231,128.287782,330.11899365,4238.8313132
202007,百萬度,25442.56467397,1757.88060158,13306.4137107,399.133549,316.417093,2724.455501,489.968188,493.458341,1448.192041,590.48939227,4994.95477569,1849.34482974,139.38996442,0,8.526147,128.182983,2.68083442,0,0,331.93853162,4663.31388936,1171.43047722,328.275011,784.718214,328.42036082,167.655693,82.60084368,104.33256082,67.345737,424.61013722,320.51223577,356.75824024,154.691566,371.96281259,5243.62797629
202008,百萬度,25231.26895343,1769.31565004,13120.36827678,408.574525,295.875505,2613.252743,480.360415,494.966449,1508.167324,575.71041958,4976.6977579,1766.7631383,140.69708036,0,8.750244,129.184845,2.76199136,0,0,302.26237587,4375.80138568,1077.7138781,314.483375,743.002759,304.07921841,153.250151,77.13172273,95.97178541,65.255093,418.44478608,284.51300472,343.05750166,148.619585,350.27852557,5522.8241847
202009,百萬度,25361.004256,1684.90738372,12977.17482518,421.583148,297.82498,2556.894659,496.419313,473.121173,1488.12478,608.2894508,4821.67159667,1813.24572471,136.86203728,0,9.117972,125.1439,2.60016528,0,0,324.89972682,4630.7027543,1169.14584642,314.33368,799.538234,323.03511086,162.576756,80.40197253,99.01245286,68.466469,408.14601158,345.80204129,329.51962609,149.976969,380.74758467,5606.4575287
202010,百萬度,24049.95905802,1583.8620506,13011.9705403,408.194071,312.28061,2746.709087,465.195614,487.82369,1536.028882,577.04325849,4811.70274491,1666.9925829,136.8804034,0,9.237393,125.048411,2.5945994,0,0,293.06636445,4062.14533401,1007.55474075,285.7126,694.231902,295.80315747,134.825146,68.48712296,84.05486447,61.876894,365.51012882,299.35597641,298.65445147,133.701084,332.37726566,4962.03436526
202011,百萬度,22640.89480501,1503.35025463,12773.04836403,405.765993,308.945393,2664.490183,467.903654,477.287736,1549.111586,582.82724143,4680.02377309,1636.69280451,131.90790737,0,9.392576,119.901299,2.61403237,0,0,272.70193369,3851.72924295,957.05393481,264.670845,635.409088,294.3869178,130.002547,65.23549542,84.6186688,60.660434,372.63811729,275.33486856,272.57453761,122.32896,316.81482866,4108.15710234
