period,西元年,季,industry_code,industry_name,貢獻度_百分點,年增率_pct
1986Q2,1986,2,R,藝術、娛樂及休閒服務業,0.04,0.0
1986Q2,1986,2,S,其他服務業,0.17,41.67
1986Q2,1986,2,加值型營業稅,加值型營業稅,0.0,
1986Q2,1986,2,合計,合計,8.25,130.45
1986Q2,1986,2,總計(生產面),總計(生產面),9.13,172.54
1986Q2,1986,2,進口稅,進口稅,0.88,
1986Q3,1986,3,3級_工業,工業,7.87,
1986Q3,1986,3,3級_服務業,服務業,4.58,29.38
1986Q3,1986,3,3級_農業,農業,0.11,0.0
1986Q3,1986,3,A,農、林、漁、牧業,0.11,0.0
1986Q3,1986,3,B,礦業及土石採取業,0.02,100.0
1986Q3,1986,3,C,製造業,7.06,
1986Q3,1986,3,D,電力及燃氣供應業,0.49,
1986Q3,1986,3,E,用水供應及污染整治業,0.05,66.67
1986Q3,1986,3,F,營建工程業,0.25,257.14
1986Q3,1986,3,G,批發及零售業,1.03,33.77
1986Q3,1986,3,GDP,GDP,12.32,245.1
1986Q3,1986,3,H,運輸及倉儲業,0.24,-29.41
1986Q3,1986,3,I,住宿及餐飲業,0.14,-46.15
1986Q3,1986,3,J,出版影音及資通訊業,0.2,-13.04
1986Q3,1986,3,K,金融及保險業,0.22,-76.34
1986Q3,1986,3,L,不動產及住宅服務業,0.69,40.82
1986Q3,1986,3,M,專業、科學及技術服務業,0.07,-22.22
1986Q3,1986,3,N,支援服務業,-0.01,
1986Q3,1986,3,O,公共行政及國防；強制性社會安全,0.2,-55.56
1986Q3,1986,3,P,教育業,0.3,76.47
1986Q3,1986,3,Q,醫療保健及社會工作服務業,0.16,77.78
1986Q3,1986,3,R,藝術、娛樂及休閒服務業,0.03,-40.0
1986Q3,1986,3,S,其他服務業,0.09,-59.09
1986Q3,1986,3,加值型營業稅,加值型營業稅,0.0,
1986Q3,1986,3,合計,合計,11.34,194.55
1986Q3,1986,3,總計(生產面),總計(生產面),12.56,281.76
1986Q3,1986,3,進口稅,進口稅,1.22,
1986Q4,1986,4,3級_工業,工業,8.81,516.08
1986Q4,1986,4,3級_服務業,服務業,5.44,46.63
1986Q4,1986,4,3級_農業,農業,-0.23,
1986Q4,1986,4,A,農、林、漁、牧業,-0.23,
1986Q4,1986,4,B,礦業及土石採取業,-0.01,
1986Q4,1986,4,C,製造業,8.33,561.11
1986Q4,1986,4,D,電力及燃氣供應業,0.12,
1986Q4,1986,4,E,用水供應及污染整治業,0.02,-66.67
1986Q4,1986,4,F,營建工程業,0.35,118.75
1986Q4,1986,4,G,批發及零售業,1.23,48.19
1986Q4,1986,4,GDP,GDP,13.79,137.35
1986Q4,1986,4,H,運輸及倉儲業,0.36,0.0
1986Q4,1986,4,I,住宿及餐飲業,0.19,-26.92
1986Q4,1986,4,J,出版影音及資通訊業,0.3,76.47
1986Q4,1986,4,K,金融及保險業,0.0,-100.0
1986Q4,1986,4,L,不動產及住宅服務業,0.81,88.37
1986Q4,1986,4,M,專業、科學及技術服務業,0.13,44.44
1986Q4,1986,4,N,支援服務業,0.02,100.0
1986Q4,1986,4,O,公共行政及國防；強制性社會安全,0.25,-43.18
1986Q4,1986,4,P,教育業,0.29,123.08
1986Q4,1986,4,Q,醫療保健及社會工作服務業,0.12,20.0
1986Q4,1986,4,R,藝術、娛樂及休閒服務業,0.06,20.0
1986Q4,1986,4,S,其他服務業,0.52,108.0
1986Q4,1986,4,加值型營業稅,加值型營業稅,0.0,
1986Q4,1986,4,合計,合計,12.86,135.96
1986Q4,1986,4,總計(生產面),總計(生產面),14.02,167.05
1986Q4,1986,4,進口稅,進口稅,1.16,
1987Q1,1987,1,3級_工業,工業,5.8,3.39
1987Q1,1987,1,3級_服務業,服務業,6.14,20.87
1987Q1,1987,1,3級_農業,農業,0.27,-35.71
1987Q1,1987,1,A,農、林、漁、牧業,0.27,-35.71
1987Q1,1987,1,B,礦業及土石採取業,-0.04,
1987Q1,1987,1,C,製造業,5.17,1.77
1987Q1,1987,1,D,電力及燃氣供應業,0.24,9.09
1987Q1,1987,1,E,用水供應及污染整治業,0.07,133.33
1987Q1,1987,1,F,營建工程業,0.36,89.47
1987Q1,1987,1,G,批發及零售業,1.34,3.88
1987Q1,1987,1,GDP,GDP,13.12,28.88
1987Q1,1987,1,H,運輸及倉儲業,0.62,148.0
1987Q1,1987,1,I,住宿及餐飲業,0.19,58.33
1987Q1,1987,1,J,出版影音及資通訊業,0.33,135.71
1987Q1,1987,1,K,金融及保險業,0.77,-46.53
1987Q1,1987,1,L,不動產及住宅服務業,0.76,18.75
1987Q1,1987,1,M,專業、科學及技術服務業,0.08,14.29
1987Q1,1987,1,N,支援服務業,0.03,
1987Q1,1987,1,O,公共行政及國防；強制性社會安全,0.27,-3.57
1987Q1,1987,1,P,教育業,0.35,400.0
1987Q1,1987,1,Q,醫療保健及社會工作服務業,0.26,136.36
1987Q1,1987,1,R,藝術、娛樂及休閒服務業,0.09,125.0
1987Q1,1987,1,S,其他服務業,0.26,23.81
1987Q1,1987,1,加值型營業稅,加值型營業稅,0.51,
1987Q1,1987,1,合計,合計,11.42,7.03
1987Q1,1987,1,總計(生產面),總計(生產面),12.21,9.9
1987Q1,1987,1,進口稅,進口稅,0.79,79.55
1987Q2,1987,2,3級_工業,工業,7.56,75.81
1987Q2,1987,2,3級_服務業,服務業,6.46,38.33
1987Q2,1987,2,3級_農業,農業,0.43,168.75
1987Q2,1987,2,A,農、林、漁、牧業,0.43,168.75
1987Q2,1987,2,B,礦業及土石採取業,0.01,-80.0
1987Q2,1987,2,C,製造業,6.21,42.43
1987Q2,1987,2,D,電力及燃氣供應業,0.79,
1987Q2,1987,2,E,用水供應及污染整治業,0.09,200.0
1987Q2,1987,2,F,營建工程業,0.46,360.0
1987Q2,1987,2,G,批發及零售業,1.15,26.37
