西元年,月,年月,原油及石油產品,地熱,天然氣,太陽光電,核能,水力,煤及煤產品,生質能及廢棄物,自產天然氣,進口液化天然氣,電力,風力,再生能源合計,化石燃料合計,再生能源佔比_%
2020,4,202004,4660576.445877196,436.792,1461943.0550772795,484479.92496,2269259.38,218327.787,3140943.567464,114754.4845580957,8700.285,1922031.246035342,0.0,178480.85,996479.8385180957,11194194.599453818,8.17
2020,5,202005,4385563.146151848,131.196,1447741.8309501908,528888.48396,2272010.29,312072.47,3877215.673976,114790.5816502932,9084.621,1902943.998187585,0.0,85033.385,1040916.1166102932,11622549.270265624,8.22
2020,6,202006,4604950.993512414,166.574,1625016.9083162085,561064.64415,2851930.31,359240.398,3494833.593192,126788.966204682,9086.233,2136945.66742184,0.0,149962.992,1197223.574354682,11870833.395442462,9.16
2020,7,202007,4457011.734656977,165.135,1509834.1427340924,634178.37415,2932568.43,278437.295,3207676.277616,135971.02860368698,9024.018,1984959.7190756684,0.0,106117.066,1154868.898753687,11168505.892082736,9.37
2020,8,202008,3691575.1484358264,152.303,1530567.040078477,597707.48955,2918150.9,208488.42,3638252.396808,127303.250020005,8979.074,2012367.0937924783,0.0,67948.385,1001599.8475700051,10881740.753114779,8.43
2020,9,202009,4065691.432818837,178.206,1496686.8673184037,565130.94815,2773928.63,224023.969,3636177.424992,122149.682978187,9000.645,1967626.09152696,0.0,110792.209,1022275.015128187,11175182.461656202,8.38
2020,10,202010,3837456.6321073608,192.357,1516964.0678908096,614944.79455,2953920.65,303776.324,2770636.253512,119219.904414614,8622.755,1994727.8985047576,0.0,366806.458,1404939.837964614,10128407.60701493,12.18
2020,11,202011,4635094.935023918,142.109,1465251.5801162203,603272.51145,2627218.18,203909.321,3164247.50368,117899.517437323,7684.345,1927301.556864522,0.0,315024.382,1240247.8408873228,11199579.920684662,9.97
2020,12,202012,4451865.815919212,63.919,1672282.0358037404,460433.94648,2095202.6,231130.587,2377521.829792,145098.30381711,8379.419,2199963.914816493,0.0,389537.619,1226264.3752971098,10710013.015331445,10.27
2021,1,202101,4684318.1502210265,0.0,1534110.320843841,510796.06733,2822815.01,218253.13123,2833686.94296,139583.069921175,8885.146,2017127.7159583145,0.0,283240.08537,1151872.353851175,11078128.27598318,9.42
2021,2,202102,3454656.7091128845,0.0,1395763.3633995901,483048.20205,2684822.61,181838.67791,2796659.735496,121576.106860176,8605.682,1834758.144576348,0.0,181969.31624,968432.303060176,9490443.634584822,9.26
2021,3,202103,5225581.913908718,519.50443,1483310.7916107152,632656.06916,2933738.46,165673.98115,3017976.737656,124733.710723538,9084.753,1949894.908926144,0.0,195630.20852,1119213.4739835379,11685849.105101578,8.74
2021,4,202104,4283749.086855362,512.06943,1512146.5526816268,716538.92686,2262098.1,138709.2868,3320217.744336,114717.0288928,9351.098,1987721.362428636,0.0,183962.37863,1154439.6906128,11113185.844301624,9.41
2021,5,202105,5050250.454054148,512.06943,1843505.1102814889,769330.18589,2398582.5,150609.09909,3968429.773224,123096.652449221,9741.463,2424767.667349343,0.0,121098.585,1164646.591859221,13296694.467908978,8.05
2021,6,202106,4059231.5708920634,512.06943,1548731.8685797714,751391.03838,2723634.51,293441.2499,3057113.979544,132797.650383731,9457.932,2035919.015858632,0.0,116696.28995,1294838.2980437311,10710454.366874466,10.79
2021,7,202107,4976716.344831296,512.06943,1779325.091111081,779432.54131,2158109.21,313523.24976,3777450.71676,132505.268164359,9703.636,2340083.6660444043,0.0,121458.56753,1347431.6961943589,12883279.454746783,9.47
2021,8,202108,5656809.635070976,512.06943,1671652.154467496,705428.92776,2118267.67,568593.7034,3998758.298784,131068.186360737,9653.738,2197999.7434526505,0.0,71225.28038,1476828.167330737,13534873.569775121,9.84
2021,9,202109,4604146.7201237045,512.06943,1669428.8466172065,798357.62345,2118343.2,378763.08453,3483706.08268,128348.1175399337,8666.932,2195942.1379791573,0.0,74493.89748,1380474.7924299336,11961890.719400069,10.35
2021,10,202110,4897932.726069737,1843.04,1781011.4115314146,847008.9042,2148192.84,536377.45441,3456165.297728,116182.66994297161,8399.323,2343468.998332578,0.0,226664.89198,1728076.9605329717,12486977.756661732,12.16
2021,11,202111,3848544.702491033,1859.038,1672834.468895571,695240.12768,1439139.86,308272.94304,3874484.224848,118621.1789179568,9017.148,2200126.256275487,0.0,280581.73325,1404575.0208879567,11605006.800510092,10.8
2021,12,202112,4468319.634979595,1779.846,1860342.3583110976,661732.34222,1980203.61,220606.67375,2346305.63792,134768.5562396811,9629.081,2447092.729859538,0.0,413762.626,1432650.044209681,11131689.442070233,11.4
2022,1,202201,5038636.788067398,2155.88,1560445.6700138375,588285.16771,2218843.13,277871.71019,2922967.6162,134637.3379018307,8482.63,2052248.1688627093,0.0,412279.26469,1415229.3604918304,11582780.873143945,10.89
2022,2,202202,4312290.312687111,1875.91,1470980.542553766,645709.57638,1923266.16,556961.91616,2472712.168816,124902.6266113288,7106.709,1935377.2415043048,0.0,409866.75737,1739316.7865213286,10198466.974561183,14.57
