period,民國年月,area_code,area_name,總人口,男性,女性,幼年_0_14,工作年齡_15_64,老年_65plus,男_0_14,女_0_14,男_15_64,女_15_64,男_65plus,女_65plus
2016-08,10508,10016000,澎湖縣,102406,52693,49713,11484,75595,15327,5983,5501,39616,35979,7094,8233
2016-08,10508,10017000,基隆市,371986,186595,185391,40830,280381,50775,21274,19556,142115,138266,23206,27569
2016-08,10508,10018000,新竹市,435805,215509,220296,76317,312346,47142,39805,36512,154517,157829,21187,25955
2016-08,10508,10020000,嘉義市,269992,131554,138438,39066,195448,35478,20412,18654,95429,100019,15713,19765
2016-08,10508,63000000,臺北市,2698591,1291456,1407135,375398,1911461,411732,194888,180510,910640,1000821,185928,225804
2016-08,10508,64000000,高雄市,2778318,1379378,1398940,345249,2068640,364429,179307,165942,1030942,1037698,169129,195300
2016-08,10508,65000000,新北市,3974278,1950970,2023308,510003,3012809,451466,265552,244451,1477010,1535799,208408,243058
2016-08,10508,66000000,臺中市,2758136,1362405,1395731,409428,2054691,294017,212611,196817,1013545,1041146,136249,157768
2016-08,10508,67000000,臺南市,1885601,943295,942306,237658,1393267,254676,123700,113958,702890,690377,116705,137971
2016-08,10508,68000000,桃園市,2132854,1065043,1067811,328367,1591354,213133,171329,157038,793022,798332,100692,112441
2016-09,10509,00000000,全國,23519518,11713562,11805956,3149742,17314844,3054932,1640418,1509324,8662669,8652175,1410475,1644457
2016-09,10509,09007000,連江縣,12586,7191,5395,1579,9732,1275,845,734,5670,4062,676,599
2016-09,10509,09020000,金門縣,134419,67225,67194,13549,105395,15475,7036,6513,52774,52621,7415,8060
2016-09,10509,10002000,宜蘭縣,457671,231855,225816,57137,333564,66970,29763,27374,170847,162717,31245,35725
2016-09,10509,10004000,新竹縣,546272,279514,266758,91631,391205,63436,47885,43746,201090,190115,30539,32897
2016-09,10509,10005000,苗栗縣,560271,288890,271381,76986,401400,81885,40436,36550,209546,191854,38908,42977
2016-09,10509,10007000,彰化縣,1287665,657156,630509,176297,930863,180505,92390,83907,481882,448981,82884,97621
2016-09,10509,10008000,南投縣,506052,259449,246603,58885,367956,79211,30581,28304,191886,176070,36982,42229
2016-09,10509,10009000,雲林縣,695925,361645,334280,85423,492757,117745,44634,40789,263499,229258,53512,64233
2016-09,10509,10010000,嘉義縣,516531,268761,247770,53499,371490,91542,27990,25509,199113,172377,41658,49884
2016-09,10509,10013000,屏東縣,837048,428461,408587,94705,616919,125424,49479,45226,319785,297134,59197,66227
2016-09,10509,10014000,臺東縣,221199,114445,106754,27562,160821,32816,14402,13160,84906,75915,15137,17679
2016-09,10509,10015000,花蓮縣,331223,168636,162587,41510,241639,48074,21723,19787,124503,117136,22410,25664
2016-09,10509,10016000,澎湖縣,102880,52960,49920,11470,76044,15366,5974,5496,39876,36168,7110,8256
2016-09,10509,10017000,基隆市,372019,186560,185459,40704,280298,51017,21225,19479,142025,138273,23310,27707
2016-09,10509,10018000,新竹市,436220,215770,220450,76288,312548,47384,39779,36509,154697,157851,21294,26090
2016-09,10509,10020000,嘉義市,269890,131488,138402,38926,195298,35666,20319,18607,95373,99925,15796,19870
2016-09,10509,63000000,臺北市,2696316,1290311,1406005,374907,1908130,413279,194615,180292,909104,999026,186592,226687
2016-09,10509,64000000,高雄市,2778332,1379143,1399189,344724,2067034,366574,178963,165761,1030070,1036964,170110,196464
2016-09,10509,65000000,新北市,3974911,1951006,2023905,509101,3010971,454839,265077,244024,1475981,1534990,209948,244891
2016-09,10509,66000000,臺中市,2759887,1363129,1396758,409192,2054877,295818,212457,196735,1013618,1041259,137054,158764
2016-09,10509,67000000,臺南市,1885499,943148,942351,237210,1392275,256014,123487,113723,702323,689952,117338,138676
2016-09,10509,68000000,桃園市,2136702,1066819,1069883,328457,1593628,214617,171358,157099,794101,799527,101360,113257
2016-10,10510,00000000,全國,23526295,11715578,11810717,3145732,17307793,3072770,1638262,1507470,8659025,8648768,1418291,1654479
2016-10,10510,09007000,連江縣,12598,7192,5406,1582,9742,1274,842,740,5675,4067,675,599
2016-10,10510,09020000,金門縣,134687,67363,67324,13585,105554,15548,7080,6505,52845,52709,7438,8110
2016-10,10510,10002000,宜蘭縣,457599,231786,225813,57035,333443,67121,29695,27340,170785,162658,31306,35815
2016-10,10510,10004000,新竹縣,546672,279710,266962,91617,391423,63632,47875,43742,201217,190206,30618,33014
2016-10,10510,10005000,苗栗縣,559886,288701,271185,76632,401055,82199,40254,36378,209399,191656,39048,43151
2016-10,10510,10007000,彰化縣,1287450,656974,630476,175875,930198,181377,92150,83725,481500,448698,83324,98053
2016-10,10510,10008000,南投縣,505660,259303,246357,58609,367521,79530,30446,28163,191711,175810,37146,42384
2016-10,10510,10009000,雲林縣,695628,361488,334140,85119,492396,118113,44492,40627,263270,229126,53726,64387
2016-10,10510,10010000,嘉義縣,516218,268567,247651,53304,371114,91800,27886,25418,198902,172212,41779,50021
2016-10,10510,10013000,屏東縣,836699,428234,408465,94339,616405,125955,49281,45058,319519,296886,59434,66521
2016-10,10510,10014000,臺東縣,221098,114393,106705,27479,160713,32906,14344,13135,84865,75848,15184,17722
2016-10,10510,10015000,花蓮縣,331065,168517,162548,41401,241372,48292,21679,19722,124349,117023,22489,25803
2016-10,10510,10016000,澎湖縣,102992,53005,49987,11468,76098,15426,5980,5488,39892,36206,7133,8293
2016-10,10510,10017000,基隆市,372048,186573,185475,40610,280139,51299,21184,19426,141982,138157,23407,27892
2016-10,10510,10018000,新竹市,436490,215826,220664,76218,312615,47657,39736,36482,154695,157920,21395,26262
2016-10,10510,10020000,嘉義市,269804,131416,138388,38756,195169,35879,20248,18508,95280,99889,15888,19991
