西元年,月,民國年,產業,生產指數
2017,2,民國106年2月,電子零組件業,57.27
2017,2,民國106年2月,電腦、電子產品及光學製品業,57.9
2017,2,民國106年2月,非金屬礦物製品業,66.45
2017,2,民國106年2月,食品及飼品業,79.82
2017,2,民國106年2月,飲料業,72.88
2017,3,民國106年3月,其他化學製品業,90.71
2017,3,民國106年3月,其他製造業,81.85
2017,3,民國106年3月,其他運輸工具及其零件業,105.29
2017,3,民國106年3月,化學工業,65.85
2017,3,民國106年3月,化學材料及肥料業,115.33
2017,3,民國106年3月,印刷及資料儲存媒體複製業,101.35
2017,3,民國106年3月,基本金屬業,92.49
2017,3,民國106年3月,塑膠製品業,108.9
2017,3,民國106年3月,家具業,97.7
2017,3,民國106年3月,成衣及服飾品業,116.26
2017,3,民國106年3月,木竹製品業,108.35
2017,3,民國106年3月,機械設備業,93.66
2017,3,民國106年3月,橡膠製品業,76.95
2017,3,民國106年3月,民生工業,95.73
2017,3,民國106年3月,汽車及其零件業,83.85
2017,3,民國106年3月,產業用機械設備維修及安裝業,70.77
2017,3,民國106年3月,皮革、毛皮及其製品業,98.61
2017,3,民國106年3月,石油及煤製品業,118.49
2017,3,民國106年3月,紙漿、紙及紙製品業,184.63
2017,3,民國106年3月,紡織業,150.07
2017,3,民國106年3月,菸草業,109.84
2017,3,民國106年3月,藥品及醫用化學製品業,101.16
2017,3,民國106年3月,資訊電子工業,103.46
2017,3,民國106年3月,金屬機電工業,79.15
2017,3,民國106年3月,金屬製品業,101.4
2017,3,民國106年3月,電力設備及配備業,90.73
2017,3,民國106年3月,電子零組件業,65.44
2017,3,民國106年3月,電腦、電子產品及光學製品業,65.35
2017,3,民國106年3月,非金屬礦物製品業,83.93
2017,3,民國106年3月,食品及飼品業,101.53
2017,3,民國106年3月,飲料業,89.93
2017,4,民國106年4月,其他化學製品業,89.03
2017,4,民國106年4月,其他製造業,67.34
2017,4,民國106年4月,其他運輸工具及其零件業,87.81
2017,4,民國106年4月,化學工業,53.88
2017,4,民國106年4月,化學材料及肥料業,94.48
2017,4,民國106年4月,印刷及資料儲存媒體複製業,86.34
2017,4,民國106年4月,基本金屬業,82.47
2017,4,民國106年4月,塑膠製品業,94.98
2017,4,民國106年4月,家具業,89.87
2017,4,民國106年4月,成衣及服飾品業,99.19
2017,4,民國106年4月,木竹製品業,96.35
2017,4,民國106年4月,機械設備業,79.93
2017,4,民國106年4月,橡膠製品業,66.39
2017,4,民國106年4月,民生工業,80.86
2017,4,民國106年4月,汽車及其零件業,74.92
2017,4,民國106年4月,產業用機械設備維修及安裝業,62.43
2017,4,民國106年4月,皮革、毛皮及其製品業,88.12
2017,4,民國106年4月,石油及煤製品業,106.94
2017,4,民國106年4月,紙漿、紙及紙製品業,147.94
2017,4,民國106年4月,紡織業,139.74
2017,4,民國106年4月,菸草業,93.36
2017,4,民國106年4月,藥品及醫用化學製品業,87.54
2017,4,民國106年4月,資訊電子工業,86.87
2017,4,民國106年4月,金屬機電工業,68.55
2017,4,民國106年4月,金屬製品業,95.33
2017,4,民國106年4月,電力設備及配備業,81.78
2017,4,民國106年4月,電子零組件業,54.98
2017,4,民國106年4月,電腦、電子產品及光學製品業,55.08
2017,4,民國106年4月,非金屬礦物製品業,80.32
2017,4,民國106年4月,食品及飼品業,89.95
2017,4,民國106年4月,飲料業,78.29
2017,5,民國106年5月,其他化學製品業,95.49
2017,5,民國106年5月,其他製造業,71.68
2017,5,民國106年5月,其他運輸工具及其零件業,90.88
2017,5,民國106年5月,化學工業,57.24
2017,5,民國106年5月,化學材料及肥料業,112.73
2017,5,民國106年5月,印刷及資料儲存媒體複製業,88.78
2017,5,民國106年5月,基本金屬業,86.48
2017,5,民國106年5月,塑膠製品業,99.96
2017,5,民國106年5月,家具業,98.51
2017,5,民國106年5月,成衣及服飾品業,102.5
2017,5,民國106年5月,木竹製品業,109.26
2017,5,民國106年5月,機械設備業,83.53
2017,5,民國106年5月,橡膠製品業,71.26
2017,5,民國106年5月,民生工業,87.31
2017,5,民國106年5月,汽車及其零件業,81.75
2017,5,民國106年5月,產業用機械設備維修及安裝業,68.29
2017,5,民國106年5月,皮革、毛皮及其製品業,96.22
2017,5,民國106年5月,石油及煤製品業,105.69
2017,5,民國106年5月,紙漿、紙及紙製品業,153.18
2017,5,民國106年5月,紡織業,166.06
2017,5,民國106年5月,菸草業,110.68
2017,5,民國106年5月,藥品及醫用化學製品業,94.1
2017,5,民國106年5月,資訊電子工業,88.56
2017,5,民國106年5月,金屬機電工業,74.5
2017,5,民國106年5月,金屬製品業,98.7
2017,5,民國106年5月,電力設備及配備業,83.66
2017,5,民國106年5月,電子零組件業,60.46
2017,5,民國106年5月,電腦、電子產品及光學製品業,60.8
2017,5,民國106年5月,非金屬礦物製品業,81.85
2017,5,民國106年5月,食品及飼品業,98.84
2017,5,民國106年5月,飲料業,85.47
2017,6,民國106年6月,其他化學製品業,95.2
2017,6,民國106年6月,其他製造業,78.53
2017,6,民國106年6月,其他運輸工具及其零件業,99.28
2017,6,民國106年6月,化學工業,65.67
2017,6,民國106年6月,化學材料及肥料業,119.63
2017,6,民國106年6月,印刷及資料儲存媒體複製業,91.44
2017,6,民國106年6月,基本金屬業,89.62
2017,6,民國106年6月,塑膠製品業,103.86
2017,6,民國106年6月,家具業,92.75
2017,6,民國106年6月,成衣及服飾品業,102.05
2017,6,民國106年6月,木竹製品業,121.41
2017,6,民國106年6月,機械設備業,89.82
2017,6,民國106年6月,橡膠製品業,78.27
2017,6,民國106年6月,民生工業,92.31
2017,6,民國106年6月,汽車及其零件業,86.11
2017,6,民國106年6月,產業用機械設備維修及安裝業,77.49
2017,6,民國106年6月,皮革、毛皮及其製品業,98.92
2017,6,民國106年6月,石油及煤製品業,107.51
2017,6,民國106年6月,紙漿、紙及紙製品業,147.35
2017,6,民國106年6月,紡織業,83.74
2017,6,民國106年6月,菸草業,119.04
2017,6,民國106年6月,藥品及醫用化學製品業,95.02
2017,6,民國106年6月,資訊電子工業,103.64
2017,6,民國106年6月,金屬機電工業,77.18
2017,6,民國106年6月,金屬製品業,89.22
2017,6,民國106年6月,電力設備及配備業,87.95
2017,6,民國106年6月,電子零組件業,64.68
2017,6,民國106年6月,電腦、電子產品及光學製品業,64.53
2017,6,民國106年6月,非金屬礦物製品業,90.78
2017,6,民國106年6月,食品及飼品業,90.12
2017,6,民國106年6月,飲料業,84.66
2017,7,民國106年7月,其他化學製品業,97.95
2017,7,民國106年7月,其他製造業,72.64
