西元年,月,民國年,科學園區,產業,核准廠商數,已入區廠商數
2016,12,民國105年12月,彙總資料,總計,929,811
2016,12,民國105年12月,彙總資料,通訊,58,55
2016,12,民國105年12月,彙總資料,電腦及周邊,76,65
2016,12,民國105年12月,新竹科學園區,光電,95,88
2016,12,民國105年12月,新竹科學園區,其他,9,5
2016,12,民國105年12月,新竹科學園區,生物技術,90,73
2016,12,民國105年12月,新竹科學園區,積體電路,189,185
2016,12,民國105年12月,新竹科學園區,精密機械,43,40
2016,12,民國105年12月,新竹科學園區,總計,530,487
2016,12,民國105年12月,新竹科學園區,通訊,46,45
2016,12,民國105年12月,新竹科學園區,電腦及周邊,58,51
2017,1,民國106年1月,中部科學園區,光電,38,32
2017,1,民國106年1月,中部科學園區,其他,16,15
2017,1,民國106年1月,中部科學園區,生物技術,40,27
2017,1,民國106年1月,中部科學園區,積體電路,8,7
2017,1,民國106年1月,中部科學園區,精密機械,70,44
2017,1,民國106年1月,中部科學園區,總計,189,138
2017,1,民國106年1月,中部科學園區,通訊,1,1
2017,1,民國106年1月,中部科學園區,電腦及周邊,16,12
2017,1,民國106年1月,南部科學園區,光電,54,51
2017,1,民國106年1月,南部科學園區,其他,7,5
2017,1,民國106年1月,南部科學園區,生物技術,65,57
2017,1,民國106年1月,南部科學園區,積體電路,18,14
2017,1,民國106年1月,南部科學園區,精密機械,52,48
2017,1,民國106年1月,南部科學園區,總計,210,186
2017,1,民國106年1月,南部科學園區,通訊,11,9
2017,1,民國106年1月,南部科學園區,電腦及周邊,3,2
2017,1,民國106年1月,彙總資料,光電,187,171
2017,1,民國106年1月,彙總資料,其他,32,25
2017,1,民國106年1月,彙總資料,生物技術,195,157
2017,1,民國106年1月,彙總資料,積體電路,215,207
2017,1,民國106年1月,彙總資料,精密機械,165,132
2017,1,民國106年1月,彙總資料,總計,929,812
2017,1,民國106年1月,彙總資料,通訊,58,55
2017,1,民國106年1月,彙總資料,電腦及周邊,77,65
2017,1,民國106年1月,新竹科學園區,光電,95,88
