西元年,月,民國年月,園區別,子園區,負載_萬KW
2017,10,10610,新竹科學園區,竹南園區,21.18
2017,10,10610,新竹科學園區,銅鑼園區,1.86
2017,10,10610,新竹科學園區,龍潭園區,15.52
2017,11,10611,中部科學園區,中興園區,0.04
2017,11,10611,中部科學園區,二林園區,0.06
2017,11,10611,中部科學園區,台中園區,67.39
2017,11,10611,中部科學園區,后里園區,19.07
2017,11,10611,中部科學園區,虎尾園區,0.93
2017,11,10611,南部科學園區,臺南園區,122.38
2017,11,10611,南部科學園區,高雄園區,18.41
2017,11,10611,新竹科學園區,宜蘭園區,0.01
2017,11,10611,新竹科學園區,新竹園區,127.95
2017,11,10611,新竹科學園區,新竹生醫園區,0.44
2017,11,10611,新竹科學園區,竹南園區,19.62
2017,11,10611,新竹科學園區,銅鑼園區,1.93
2017,11,10611,新竹科學園區,龍潭園區,14.93
2017,12,10612,中部科學園區,中興園區,0.03
2017,12,10612,中部科學園區,二林園區,0.04
2017,12,10612,中部科學園區,台中園區,65.85
2017,12,10612,中部科學園區,后里園區,18.62
2017,12,10612,中部科學園區,虎尾園區,1.56
2017,12,10612,南部科學園區,臺南園區,121.71
2017,12,10612,南部科學園區,高雄園區,18.43
2017,12,10612,新竹科學園區,宜蘭園區,0.01
2017,12,10612,新竹科學園區,新竹園區,131.38
2017,12,10612,新竹科學園區,新竹生醫園區,0.4
2017,12,10612,新竹科學園區,竹南園區,18.88
2017,12,10612,新竹科學園區,銅鑼園區,1.81
2017,12,10612,新竹科學園區,龍潭園區,14.82
2018,1,10701,中部科學園區,中興園區,0.03
2018,1,10701,中部科學園區,二林園區,0.04
2018,1,10701,中部科學園區,台中園區,65.92
2018,1,10701,中部科學園區,后里園區,18.89
2018,1,10701,中部科學園區,虎尾園區,1.66
2018,1,10701,南部科學園區,臺南園區,121.14
2018,1,10701,南部科學園區,高雄園區,18.43
2018,1,10701,新竹科學園區,宜蘭園區,0.01
2018,1,10701,新竹科學園區,新竹園區,126.65
2018,1,10701,新竹科學園區,新竹生醫園區,0.4
2018,1,10701,新竹科學園區,竹南園區,18.32
2018,1,10701,新竹科學園區,銅鑼園區,1.78
2018,1,10701,新竹科學園區,龍潭園區,14.9
2018,2,10702,中部科學園區,中興園區,0.03
2018,2,10702,中部科學園區,二林園區,0.03
2018,2,10702,中部科學園區,台中園區,65.06
2018,2,10702,中部科學園區,后里園區,19.12
2018,2,10702,中部科學園區,虎尾園區,1.62
2018,2,10702,南部科學園區,臺南園區,120.83
2018,2,10702,南部科學園區,高雄園區,18.42
2018,2,10702,新竹科學園區,宜蘭園區,0.01
2018,2,10702,新竹科學園區,新竹園區,120.27
2018,2,10702,新竹科學園區,新竹生醫園區,0.38
2018,2,10702,新竹科學園區,竹南園區,17.84
2018,2,10702,新竹科學園區,銅鑼園區,1.76
2018,2,10702,新竹科學園區,龍潭園區,15.86
2018,3,10703,中部科學園區,中興園區,0.04
2018,3,10703,中部科學園區,二林園區,0.05
2018,3,10703,中部科學園區,台中園區,68.57
2018,3,10703,中部科學園區,后里園區,20.7
2018,3,10703,中部科學園區,虎尾園區,1.74
2018,3,10703,南部科學園區,臺南園區,122.16
2018,3,10703,南部科學園區,高雄園區,18.09
2018,3,10703,新竹科學園區,宜蘭園區,0.04
2018,3,10703,新竹科學園區,新竹園區,130.63
2018,3,10703,新竹科學園區,新竹生醫園區,0.41
2018,3,10703,新竹科學園區,竹南園區,18.72
2018,3,10703,新竹科學園區,銅鑼園區,1.91
2018,3,10703,新竹科學園區,龍潭園區,15.45
2018,4,10704,中部科學園區,中興園區,0.04
2018,4,10704,中部科學園區,二林園區,0.06
2018,4,10704,中部科學園區,台中園區,69.55
2018,4,10704,中部科學園區,后里園區,21.0
2018,4,10704,中部科學園區,虎尾園區,1.78
2018,4,10704,南部科學園區,臺南園區,122.47
2018,4,10704,南部科學園區,高雄園區,18.18
2018,4,10704,新竹科學園區,宜蘭園區,0.01
2018,4,10704,新竹科學園區,新竹園區,133.88
2018,4,10704,新竹科學園區,新竹生醫園區,0.42
2018,4,10704,新竹科學園區,竹南園區,19.43
2018,4,10704,新竹科學園區,銅鑼園區,1.97
2018,4,10704,新竹科學園區,龍潭園區,15.68
2018,5,10705,中部科學園區,中興園區,0.05
2018,5,10705,中部科學園區,二林園區,0.07
2018,5,10705,中部科學園區,台中園區,71.9
2018,5,10705,中部科學園區,后里園區,22.05
2018,5,10705,中部科學園區,虎尾園區,1.88
2018,5,10705,南部科學園區,臺南園區,123.5
2018,5,10705,南部科學園區,高雄園區,18.18
2018,5,10705,新竹科學園區,宜蘭園區,0.01
2018,5,10705,新竹科學園區,新竹園區,134.01
2018,5,10705,新竹科學園區,新竹生醫園區,0.48
2018,5,10705,新竹科學園區,竹南園區,20.24
2018,5,10705,新竹科學園區,銅鑼園區,2.3
2018,5,10705,新竹科學園區,龍潭園區,16.44
2018,6,10706,中部科學園區,中興園區,0.06
2018,6,10706,中部科學園區,二林園區,0.07
2018,6,10706,中部科學園區,台中園區,71.47
2018,6,10706,中部科學園區,后里園區,22.25
2018,6,10706,中部科學園區,虎尾園區,1.85
2018,6,10706,南部科學園區,臺南園區,123.5
2018,6,10706,南部科學園區,高雄園區,18.22
2018,6,10706,新竹科學園區,宜蘭園區,0.01
2018,6,10706,新竹科學園區,新竹園區,133.67
