西元年,行業代碼,行業名稱,生產總額_百萬元,中間消費_百萬元,GDP_百萬元,生產及進口稅淨額_百萬元,固定資本消耗_百萬元,受僱人員報酬_百萬元,營業盈餘_百萬元
2016,CL,藥品及醫用化學製品製造業,108124.0,62108.0,46016.0,300.0,8045.0,21523.0,16148.0
2016,CM,橡膠製品製造業,116542.0,69109.0,47433.0,1663.0,4249.0,27279.0,14242.0
2016,CN,塑膠製品製造業,474843.0,336295.0,138548.0,1631.0,12265.0,77726.0,46926.0
2016,CO,非金屬礦物製品製造業,395422.0,275107.0,120315.0,6738.0,21508.0,65097.0,26972.0
2016,CP,基本金屬製造業,1499537.0,1221214.0,278323.0,3864.0,36345.0,93442.0,144672.0
2016,CQ,金屬製品製造業,1027828.0,686606.0,341222.0,4779.0,33349.0,211416.0,91678.0
2016,CR,電子零組件製造業,4618172.0,2564871.0,2053301.0,5634.0,779685.0,566548.0,701434.0
2016,CS,電腦、電子產品及光學製品製造業,2701311.0,2060599.0,640712.0,4190.0,134302.0,226602.0,275618.0
2016,CT,電力設備及配備製造業,634367.0,468634.0,165733.0,5451.0,24502.0,86846.0,48934.0
2016,CU,機械設備製造業,992615.0,728825.0,263790.0,3840.0,23563.0,150721.0,85666.0
2016,CV,汽車及其零件製造業,507309.0,355637.0,151672.0,29577.0,22462.0,62545.0,37088.0
2016,CW,其他運輸工具及其零件製造業,379505.0,283552.0,95953.0,8002.0,13126.0,54230.0,20595.0
2016,CX,家具製造業,86167.0,64941.0,21226.0,213.0,1692.0,14218.0,5103.0
2016,CY,其他製造業,389332.0,263716.0,125616.0,715.0,11471.0,81344.0,32086.0
2016,D,電力及燃氣供應業,690814.0,394386.0,296428.0,6927.0,119660.0,45530.0,124311.0
2016,E,用水供應及污染整治業,207324.0,109317.0,98007.0,446.0,16764.0,27964.0,52833.0
2016,F,營建工程業,1472623.0,1061469.0,411154.0,6471.0,21558.0,306231.0,76894.0
2016,G,批發及零售業,3716157.0,1038150.0,2678007.0,59082.0,146453.0,1120555.0,1351917.0
2016,H,運輸及倉儲業,1208398.0,697157.0,511241.0,6894.0,111231.0,242771.0,150345.0
2016,I,住宿及餐飲業,942504.0,506839.0,435665.0,6095.0,33005.0,270815.0,125750.0
2016,ICT,ICT產業,8078700.0,4936292.0,3142408.0,19914.0,1020325.0,979408.0,1122761.0
2016,J,出版影音及資通訊業,1026079.0,477005.0,549074.0,10995.0,111738.0,243308.0,183033.0
2016,K,金融及保險業,1629880.0,505053.0,1124827.0,56537.0,105269.0,586238.0,376783.0
2016,L,不動產及住宅服務業,1791380.0,392117.0,1399263.0,60613.0,188885.0,67818.0,1081947.0
2016,M,專業、科學及技術服務業,656829.0,274789.0,382040.0,4599.0,61193.0,216212.0,100036.0
2016,N,支援服務業,428979.0,134920.0,294059.0,3857.0,39363.0,208177.0,42662.0
2016,O,公共行政及國防；強制性社會安全,1474639.0,424191.0,1050448.0,6312.0,330411.0,713725.0,0.0
2016,P,教育業,898998.0,159643.0,739355.0,-10526.0,57961.0,665058.0,26862.0
2016,Q,醫療保健及社會工作服務業,796264.0,284241.0,512023.0,-10732.0,48900.0,377932.0,95923.0
2016,R,藝術、娛樂及休閒服務業,225580.0,84490.0,141090.0,5651.0,11872.0,98436.0,25131.0
2016,S,其他服務業,653619.0,223269.0,430350.0,11802.0,10298.0,315943.0,92307.0
2016,加值型營業稅,加值型營業稅,308331.0,0.0,308331.0,308331.0,0.0,0.0,0.0
2016,合計,合計,37281632.0,20234575.0,17047057.0,451079.0,2700956.0,7740858.0,6154164.0
2016,總計(生產面),總計(生產面),37789843.0,20234575.0,17555268.0,959290.0,2700956.0,7740858.0,6154164.0
2016,進口稅,進口稅,199880.0,0.0,199880.0,199880.0,0.0,0.0,0.0
2017,A,農、林、漁、牧業,640051.0,310329.0,329722.0,-13764.0,21625.0,63747.0,258114.0
2017,B,礦業及土石採取業,18040.0,7474.0,10566.0,603.0,3348.0,3686.0,2929.0
2017,C,製造業,19709737.0,13758043.0,5951694.0,251683.0,1293493.0,2285745.0,2120773.0
