西元年,月,民國年,科學園區,產業,營業額
2017,1,民國106年1月,中部科學園區,積體電路,150.94
2017,1,民國106年1月,中部科學園區,精密機械,16.11
2017,1,民國106年1月,中部科學園區,總計,307.67
2017,1,民國106年1月,中部科學園區,通訊,0.03
2017,1,民國106年1月,中部科學園區,電腦及周邊,2.85
2017,1,民國106年1月,南部科學園區,光電,226.24
2017,1,民國106年1月,南部科學園區,其他,2.15
2017,1,民國106年1月,南部科學園區,生物技術,7.31
2017,1,民國106年1月,南部科學園區,積體電路,359.7
2017,1,民國106年1月,南部科學園區,精密機械,22.75
2017,1,民國106年1月,南部科學園區,總計,623.45
2017,1,民國106年1月,南部科學園區,通訊,3.86
2017,1,民國106年1月,南部科學園區,電腦及周邊,1.44
2017,1,民國106年1月,新竹科學園區,光電,116.2
2017,1,民國106年1月,新竹科學園區,其他,5.4
2017,1,民國106年1月,新竹科學園區,生物技術,7.77
2017,1,民國106年1月,新竹科學園區,積體電路,570.2
2017,1,民國106年1月,新竹科學園區,精密機械,32.62
2017,1,民國106年1月,新竹科學園區,總計,783.52
2017,1,民國106年1月,新竹科學園區,通訊,25.43
2017,1,民國106年1月,新竹科學園區,電腦及周邊,25.89
2017,1,民國106年1月,總　　計,光電,475.8
2017,1,民國106年1月,總　　計,其他,8.76
2017,1,民國106年1月,總　　計,生物技術,18.24
2017,1,民國106年1月,總　　計,積體電路,1080.84
2017,1,民國106年1月,總　　計,精密機械,71.49
2017,1,民國106年1月,總　　計,總計,1714.63
2017,1,民國106年1月,總　　計,通訊,29.32
2017,1,民國106年1月,總　　計,電腦及周邊,30.18
2017,2,民國106年2月,中部科學園區,光電,144.06
2017,2,民國106年2月,中部科學園區,其他,1.12
2017,2,民國106年2月,中部科學園區,生物技術,2.55
2017,2,民國106年2月,中部科學園區,積體電路,219.63
2017,2,民國106年2月,中部科學園區,精密機械,20.27
2017,2,民國106年2月,中部科學園區,總計,390.51
2017,2,民國106年2月,中部科學園區,通訊,0.04
2017,2,民國106年2月,中部科學園區,電腦及周邊,2.84
2017,2,民國106年2月,南部科學園區,光電,212.72
2017,2,民國106年2月,南部科學園區,其他,1.99
2017,2,民國106年2月,南部科學園區,生物技術,7.82
2017,2,民國106年2月,南部科學園區,積體電路,444.17
2017,2,民國106年2月,南部科學園區,精密機械,27.28
2017,2,民國106年2月,南部科學園區,總計,699.12
2017,2,民國106年2月,南部科學園區,通訊,3.65
2017,2,民國106年2月,南部科學園區,電腦及周邊,1.48
2017,2,民國106年2月,新竹科學園區,光電,112.06
2017,2,民國106年2月,新竹科學園區,其他,5.38
2017,2,民國106年2月,新竹科學園區,生物技術,5.61
2017,2,民國106年2月,新竹科學園區,積體電路,575.22
2017,2,民國106年2月,新竹科學園區,精密機械,33.56
2017,2,民國106年2月,新竹科學園區,總計,780.8
2017,2,民國106年2月,新竹科學園區,通訊,24.99
2017,2,民國106年2月,新竹科學園區,電腦及周邊,23.97
2017,2,民國106年2月,總　　計,光電,468.83
2017,2,民國106年2月,總　　計,其他,8.49
2017,2,民國106年2月,總　　計,生物技術,15.99
2017,2,民國106年2月,總　　計,積體電路,1239.02
2017,2,民國106年2月,總　　計,精密機械,81.11
2017,2,民國106年2月,總　　計,總計,1870.43
2017,2,民國106年2月,總　　計,通訊,28.68
2017,2,民國106年2月,總　　計,電腦及周邊,28.29
2017,3,民國106年3月,中部科學園區,光電,172.93
2017,3,民國106年3月,中部科學園區,其他,1.53
2017,3,民國106年3月,中部科學園區,生物技術,3.44
2017,3,民國106年3月,中部科學園區,積體電路,257.36
2017,3,民國106年3月,中部科學園區,精密機械,24.26
2017,3,民國106年3月,中部科學園區,總計,462.51
2017,3,民國106年3月,中部科學園區,通訊,0.06
2017,3,民國106年3月,中部科學園區,電腦及周邊,2.93
2017,3,民國106年3月,南部科學園區,光電,253.19
2017,3,民國106年3月,南部科學園區,其他,2.57
2017,3,民國106年3月,南部科學園區,生物技術,10.35
2017,3,民國106年3月,南部科學園區,積體電路,518.4
2017,3,民國106年3月,南部科學園區,精密機械,33.02
2017,3,民國106年3月,南部科學園區,總計,823.58
2017,3,民國106年3月,南部科學園區,通訊,4.33
2017,3,民國106年3月,南部科學園區,電腦及周邊,1.71
2017,3,民國106年3月,新竹科學園區,光電,133.51
2017,3,民國106年3月,新竹科學園區,其他,4.9
2017,3,民國106年3月,新竹科學園區,生物技術,7.21
2017,3,民國106年3月,新竹科學園區,積體電路,609.75
2017,3,民國106年3月,新竹科學園區,精密機械,40.04
2017,3,民國106年3月,新竹科學園區,總計,866.67
2017,3,民國106年3月,新竹科學園區,通訊,34.51
2017,3,民國106年3月,新竹科學園區,電腦及周邊,36.75
2017,3,民國106年3月,總　　計,光電,559.63
2017,3,民國106年3月,總　　計,其他,9.01
2017,3,民國106年3月,總　　計,生物技術,21.0
2017,3,民國106年3月,總　　計,積體電路,1385.52
2017,3,民國106年3月,總　　計,精密機械,97.32
2017,3,民國106年3月,總　　計,總計,2152.76
2017,3,民國106年3月,總　　計,通訊,38.89
2017,3,民國106年3月,總　　計,電腦及周邊,41.39
2017,4,民國106年4月,中部科學園區,光電,137.27
2017,4,民國106年4月,中部科學園區,其他,1.29
2017,4,民國106年4月,中部科學園區,生物技術,2.88
2017,4,民國106年4月,中部科學園區,積體電路,238.12
2017,4,民國106年4月,中部科學園區,精密機械,20.86
2017,4,民國106年4月,中部科學園區,總計,403.23
2017,4,民國106年4月,中部科學園區,通訊,0.06
2017,4,民國106年4月,中部科學園區,電腦及周邊,2.74
2017,4,民國106年4月,南部科學園區,光電,216.1
2017,4,民國106年4月,南部科學園區,其他,2.05
2017,4,民國106年4月,南部科學園區,生物技術,7.0
2017,4,民國106年4月,南部科學園區,積體電路,417.88
2017,4,民國106年4月,南部科學園區,精密機械,28.01
2017,4,民國106年4月,南部科學園區,總計,677.46
2017,4,民國106年4月,南部科學園區,通訊,4.88
2017,4,民國106年4月,南部科學園區,電腦及周邊,1.54
2017,4,民國106年4月,新竹科學園區,光電,109.51
2017,4,民國106年4月,新竹科學園區,其他,4.87
2017,4,民國106年4月,新竹科學園區,生物技術,8.0
2017,4,民國106年4月,新竹科學園區,積體電路,549.98
2017,4,民國106年4月,新竹科學園區,精密機械,29.66
2017,4,民國106年4月,新竹科學園區,總計,766.8
2017,4,民國106年4月,新竹科學園區,通訊,29.84
2017,4,民國106年4月,新竹科學園區,電腦及周邊,34.94
2017,4,民國106年4月,總　　計,光電,462.89
2017,4,民國106年4月,總　　計,其他,8.21
2017,4,民國106年4月,總　　計,生物技術,17.89
2017,4,民國106年4月,總　　計,積體電路,1205.97
2017,4,民國106年4月,總　　計,精密機械,78.54
2017,4,民國106年4月,總　　計,總計,1847.49
2017,4,民國106年4月,總　　計,通訊,34.77
2017,4,民國106年4月,總　　計,電腦及周邊,39.21
2017,5,民國106年5月,中部科學園區,光電,156.72
2017,5,民國106年5月,中部科學園區,其他,1.36
2017,5,民國106年5月,中部科學園區,生物技術,3.0
2017,5,民國106年5月,中部科學園區,積體電路,243.69
2017,5,民國106年5月,中部科學園區,精密機械,21.21
2017,5,民國106年5月,中部科學園區,總計,428.72
2017,5,民國106年5月,中部科學園區,通訊,0.09
2017,5,民國106年5月,中部科學園區,電腦及周邊,2.65
2017,5,民國106年5月,南部科學園區,光電,242.24
2017,5,民國106年5月,南部科學園區,其他,2.0
2017,5,民國106年5月,南部科學園區,生物技術,6.72
2017,5,民國106年5月,南部科學園區,積體電路,425.71
2017,5,民國106年5月,南部科學園區,精密機械,35.28
2017,5,民國106年5月,南部科學園區,總計,717.82
2017,5,民國106年5月,南部科學園區,通訊,4.21
2017,5,民國106年5月,南部科學園區,電腦及周邊,1.67
2017,5,民國106年5月,新竹科學園區,光電,122.58
2017,5,民國106年5月,新竹科學園區,其他,6.41
2017,5,民國106年5月,新竹科學園區,生物技術,8.02
2017,5,民國106年5月,新竹科學園區,積體電路,533.01
2017,5,民國106年5月,新竹科學園區,精密機械,36.79
2017,5,民國106年5月,新竹科學園區,總計,768.65
2017,5,民國106年5月,新竹科學園區,通訊,29.48
2017,5,民國106年5月,新竹科學園區,電腦及周邊,32.36
2017,5,民國106年5月,總　　計,光電,521.53
2017,5,民國106年5月,總　　計,其他,9.77
2017,5,民國106年5月,總　　計,生物技術,17.74
2017,5,民國106年5月,總　　計,積體電路,1202.41
2017,5,民國106年5月,總　　計,精密機械,93.29
2017,5,民國106年5月,總　　計,總計,1915.19
2017,5,民國106年5月,總　　計,通訊,33.78
