YearMonth,District,PowerUsage_100M_kWh,StationName,MeanTemp,SunshineHrs
202105,西屯區,6.2871,Taichung,28.8,223.8
202106,安定,2.6455,Tainan,28.3,151.7
202106,寶山,0.8709,Hsinchu,28.7,186
202106,新市,5.6094,Tainan,28.3,151.7
202106,新竹市,8.9917,Hsinchu,28.7,186
202106,西屯區,6.1282,Taichung,27.8,122.3
202107,安定,2.8736,Tainan,29.1,199.9
202107,寶山,0.915,Hsinchu,29.8,223.2
202107,新市,5.8813,Tainan,29.1,199.9
202107,新竹市,9.4199,Hsinchu,29.8,223.2
202107,西屯區,6.4456,Taichung,29,179.2
202108,安定,2.9283,Tainan,28.4,172.5
202108,寶山,0.9065,Hsinchu,28.6,196.6
202108,新市,5.8423,Tainan,28.4,172.5
202108,新竹市,9.3714,Hsinchu,28.6,196.6
202108,西屯區,6.4309,Taichung,27.8,166.8
202109,安定,2.9088,Tainan,29.5,226.1
202109,寶山,0.931,Hsinchu,29.3,254
202109,新市,5.6611,Tainan,29.5,226.1
202109,新竹市,9.1041,Hsinchu,29.3,254
202109,西屯區,6.2529,Taichung,29,207
202110,安定,3.2061,Tainan,27.3,217.4
202110,寶山,0.99,Hsinchu,26,165.9
202110,新市,5.7573,Tainan,27.3,217.4
202110,新竹市,9.1203,Hsinchu,26,165.9
202110,西屯區,6.2954,Taichung,26.7,198.3
202111,安定,3.1506,Tainan,23.2,199.3
202111,寶山,1.0682,Hsinchu,21.1,92.9
202111,新市,5.4276,Tainan,23.2,199.3
202111,新竹市,8.3697,Hsinchu,21.1,92.9
202111,西屯區,5.8965,Taichung,22.4,150.7
202112,安定,3.2415,Tainan,19.3,203.5
202112,寶山,1.1101,Hsinchu,17.9,144.1
202112,新市,5.4775,Tainan,19.3,203.5
202112,新竹市,8.4501,Hsinchu,17.9,144.1
202112,西屯區,5.9889,Taichung,18.8,199.9
202201,安定,3.2069,Tainan,18.5,173.1
202201,寶山,1.1469,Hsinchu,16.9,91.2
202201,新市,5.2474,Tainan,18.5,173.1
202201,新竹市,8.2532,Hsinchu,16.9,91.2
202201,西屯區,5.9447,Taichung,17.9,164.4
202202,安定,2.9758,Tainan,17.4,131.8
202202,寶山,1.0487,Hsinchu,15.7,41.3
202202,新市,5.0391,Tainan,17.4,131.8
202202,新竹市,7.4591,Hsinchu,15.7,41.3
202202,西屯區,5.3285,Taichung,16.8,129.6
202203,安定,3.5485,Tainan,23,205.9
202203,寶山,1.2205,Hsinchu,20,143
202203,新市,5.5891,Tainan,23,205.9
202203,新竹市,8.4878,Hsinchu,20,143
202203,西屯區,6.114,Taichung,21.5,198.1
202204,安定,3.7198,Tainan,24.6,231.7
202204,寶山,1.2306,Hsinchu,22.1,140.6
202204,新市,5.4867,Tainan,24.6,231.7
202204,新竹市,8.4615,Hsinchu,22.1,140.6
202204,西屯區,5.9883,Taichung,23.5,185.2
202205,安定,3.9976,Tainan,25.8,128.3
202205,寶山,1.311,Hsinchu,23.4,74.1
202205,新市,5.8069,Tainan,25.8,128.3
202205,新竹市,8.9162,Hsinchu,23.4,74.1
