,"國內生產及要素所得",
,,,,,,,,"單位：新臺幣百萬元"
"統計期","行業","生產總額","中間消費","國內生產毛額","生產及進口稅淨額","固定資本消耗","受僱人員報酬","營業盈餘"
"108年","D.電力及燃氣供應業",751530,534557,216973,1667,122944,48616,43746
"108年","E.用水供應及污染整治業",233974,127077,106897,322,18635,34083,53857
"108年","F.營建工程業",1709445,1216399,493046,7195,23190,342735,119926
"108年","G.批發及零售業",3830047,1054200,2775847,60819,160578,1288750,1265700
"108年","H.運輸及倉儲業",1395010,842641,552369,6884,125770,277161,142554
"108年","I.住宿及餐飲業",1080748,565098,515650,6555,37953,305850,165292
"108年","J.出版影音及資通訊業",1045699,451056,594643,10842,121463,301188,161150
"108年","K.金融及保險業",1828194,574118,1254076,62581,122512,665165,403818
"108年","L.不動產及住宅服務業",2030139,464729,1565410,65780,224926,86094,1188610
"108年","M.專業、科學及技術服務業",760600,314489,446111,3979,72467,265761,103904
"108年","N.支援服務業",491028,154226,336802,4409,47808,242206,42379
"108年","O.公共行政及國防；強制性社會安全",1518016,414360,1103656,6687,359048,737921,0
"108年","P.教育業",909995,165220,744775,-12837,61768,679273,16571
"108年","Q.醫療保健及社會工作服務業",939071,339720,599351,-7487,57298,449247,100293
"108年","R.藝術、娛樂及休閒服務業",242742,87891,154851,6074,13716,105823,29238
"108年","S.其他服務業",664191,228657,435534,12244,10474,332661,80155
"108年","合計",39830740,21526669,18304071,489131,3040293,8748343,6026304
"108年","進口稅",209277,0,209277,209277,0,0,0
"108年","加值型營業稅",338141,0,338141,338141,0,0,0
"108年","總計(生產面)",40378158,21526669,18851489,1036549,3040293,8748343,6026304
"108年","補充項目:ICT產業",7784847,4425159,3359688,20892,1179959,1198933,959904
"109年","A.農、林、漁、牧業",605550,288541,317009,-36984,24834,61805,267354
"109年","B.礦業及土石採取業",22489,9591,12898,736,3442,3907,4813
"109年","C.製造業",19984044,13213315,6770729,232987,1505638,2601030,2431074
"109年","　CA.食品及飼品製造業",845500,656510,188990,1228,14337,92298,81127
"109年","　CB.飲料及菸草製造業",166159,51747,114412,84983,4718,18983,5728
"109年","　CC.紡織業",334587,233116,101471,-1400,8874,65530,28467
"109年","　CD.成衣及服飾品製造業",155136,118539,36597,-444,1559,25416,10066
"109年","　CE.皮革、毛皮及其製品製造業",47913,30687,17226,-300,2671,10434,4421
"109年","　CF.木竹製品製造業",47254,34785,12469,-133,1117,9747,1738
"109年","　CG.紙漿、紙及紙製品製造業",251238,180771,70467,347,5864,38097,26159
"109年","　CH.印刷及資料儲存媒體複製業",122062,77406,44656,-424,5588,33595,5897
"109年","　CI.石油及煤製品製造業",801153,666045,135108,94332,28254,26919,-14397
"109年","　CJ.化學材料及肥料製造業",1694723,1280998,413725,2079,59505,103741,248400
"109年","　CK.其他化學製品製造業",326387,229334,97053,-247,10577,49458,37265
"109年","　CL.藥品及醫用化學製品製造業",138736,75835,62901,-304,10253,27866,25086
"109年","　CM.橡膠製品製造業",118302,69863,48439,-219,5104,30492,13062
