,"國內各業生產及平減指數-年"
,,,,,""
"統計期","行業","生產總額_當期價格(新臺幣百萬元)","中間消費_當期價格(新臺幣百萬元)","國內生產毛額_當期價格(新臺幣百萬元)","國內生產毛額_連鎖實質值(2021為參考年_新臺幣百萬元)","國內生產毛額_平減指數(2021年=100)",
"108年","CW.其他運輸工具及其零件製造業","449,154","334,579","114,575","101,866","112.48",
"108年","CX.家具製造業","92,112","68,626","23,486","19,572","120.00",
"108年","CY.其他製造業","525,904","364,855","161,049","151,424","106.36",
"108年","D.電力及燃氣供應業","751,530","534,557","216,973","207,662","104.48",
"108年","E.用水供應及污染整治業","233,974","127,077","106,897","110,958","96.34",
"108年","F.營建工程業","1,709,445","1,216,399","493,046","571,581","86.26",
"108年","G.批發及零售業","3,830,047","1,054,200","2,775,847","2,888,163","96.11",
"108年","H.運輸及倉儲業","1,395,010","842,641","552,369","1,085,435","50.89",
"108年","I.住宿及餐飲業","1,080,748","565,098","515,650","509,658","101.18",
"108年","J.出版影音及資通訊業","1,045,699","451,056","594,643","580,001","102.52",
"108年","K.金融及保險業","1,828,194","574,118","1,254,076","1,232,266","101.77",
"108年","L.不動產及住宅服務業","2,030,139","464,729","1,565,410","1,587,774","98.59",
"108年","M.專業、科學及技術服務業","760,600","314,489","446,111","464,219","96.10",
"108年","N.支援服務業","491,028","154,226","336,802","341,811","98.53",
"108年","O.公共行政及國防；強制性社會安全","1,518,016","414,360","1,103,656","1,154,296","95.61",
"108年","P.教育業","909,995","165,220","744,775","760,948","97.87",
"108年","Q.醫療保健及社會工作服務業","939,071","339,720","599,351","644,566","92.99",
"108年","R.藝術、娛樂及休閒服務業","242,742","87,891","154,851","157,420","98.37",
"108年","S.其他服務業","664,191","228,657","435,534","447,720","97.28",
"108年","合計","39,830,740","21,526,669","18,304,071","19,166,769","95.50",
"108年","進口稅","209,277","-","209,277","184,442","113.46",
"108年","加值型營業稅","338,141","-","338,141","341,644","98.97",
"108年","總計(生產面)","40,378,158","21,526,669","18,851,489","19,690,316","95.74",
"108年","GDP","-","-","18,974,097","19,727,465","96.18",
"108年","補充項目:ICT產業","7,784,847","4,425,159","3,359,688","3,481,018","96.51",
"109年","A.農、林、漁、牧業","605,550","288,541","317,009","329,380","96.24",
"109年","B.礦業及土石採取業","22,489","9,591","12,898","11,501","112.15",
"109年","C.製造業","19,984,044","13,213,315","6,770,729","6,796,648","99.62",
"109年","CA.食品及飼品製造業","845,500","656,510","188,990","171,733","110.05",
"109年","CB.飲料及菸草製造業","166,159","51,747","114,412","103,707","110.32",
"109年","CC.紡織業","334,587","233,116","101,471","91,363","111.06",
"109年","CD.成衣及服飾品製造業","155,136","118,539","36,597","37,329","98.04",
"109年","CE.皮革、毛皮及其製品製造業","47,913","30,687","17,226","17,642","97.64",
"109年","CF.木竹製品製造業","47,254","34,785","12,469","12,728","97.97",
"109年","CG.紙漿、紙及紙製品製造業","251,238","180,771","70,467","75,932","92.80",
"109年","CH.印刷及資料儲存媒體複製業","122,062","77,406","44,656","42,269","105.65",
"109年","CI.石油及煤製品製造業","801,153","666,045","135,108","147,910","91.34",
"109年","CJ.化學材料及肥料製造業","1,694,723","1,280,998","413,725","433,485","95.44",
"109年","CK.其他化學製品製造業","326,387","229,334","97,053","85,209","113.90",
"109年","CL.藥品及醫用化學製品製造業","138,736","75,835","62,901","61,432","102.39",
"109年","CM.橡膠製品製造業","118,302","69,863","48,439","45,216","107.13",
"109年","CN.塑膠製品製造業","504,655","346,254","158,401","151,506","104.55",
"109年","CO.非金屬礦物製品製造業","404,642","287,080","117,562","120,746","97.36",
"109年","CP.基本金屬製造業","1,601,792","1,314,374","287,418","411,510","69.84",
